audio_name,applied_effects,GA_effects,similarity_indv
0.mp3,"{2: {'drive_db': 9.69}, 0: {'rate_hz': 3.58}, 1: {'delay_seconds': 7.63}}",,
1.mp3,"{0: {'rate_hz': 28.69}, 5: {'wet_level': 0.57}}",,
2.mp3,"{1: {'delay_seconds': 9.72}, 5: {'wet_level': 0.19}, 2: {'drive_db': 11.16}, 4: {'depth': 0.85}}",,
3.mp3,"{5: {'wet_level': 0.9}, 1: {'delay_seconds': 5.02}, 0: {'rate_hz': 47.22}}",,
4.mp3,"{1: {'delay_seconds': 0.83}, 0: {'rate_hz': 22.64}}",,
5.mp3,"{0: {'rate_hz': 77.06}, 1: {'delay_seconds': 5.09}, 2: {'drive_db': 45.35}, 4: {'depth': 0.79}, 3: {'gain_db': 18.76}}",,
6.mp3,"{0: {'rate_hz': 46.64}, 5: {'wet_level': 0.24}, 1: {'delay_seconds': 6.58}, 2: {'drive_db': 23.53}, 4: {'depth': 0.21}, 3: {'gain_db': -28.97}}",,
7.mp3,"{3: {'gain_db': -30.73}, 4: {'depth': 0.45}, 5: {'wet_level': 0.11}, 1: {'delay_seconds': 3.9}}",,
8.mp3,"{2: {'drive_db': 13.05}, 5: {'wet_level': 0.48}, 4: {'depth': 0.58}}",,
9.mp3,"{1: {'delay_seconds': 2.11}, 3: {'gain_db': -10.1}, 4: {'depth': 0.29}, 2: {'drive_db': 40.31}, 5: {'wet_level': 0.43}}",,
10.mp3,"{2: {'drive_db': 7.04}, 1: {'delay_seconds': 2.09}, 3: {'gain_db': -39.93}}",,
11.mp3,{1: {'delay_seconds': 4.12}},,
12.mp3,"{4: {'depth': 0.06}, 5: {'wet_level': 0.68}}",,
13.mp3,{1: {'delay_seconds': 8.66}},,
14.mp3,"{0: {'rate_hz': 95.42}, 5: {'wet_level': 0.55}, 1: {'delay_seconds': 9.34}, 4: {'depth': 0.49}}",,
15.mp3,{3: {'gain_db': -7.16}},,
16.mp3,{3: {'gain_db': -43.78}},,
17.mp3,"{2: {'drive_db': 21.45}, 3: {'gain_db': -17.03}, 4: {'depth': 0.66}, 1: {'delay_seconds': 4.11}}",,
18.mp3,"{3: {'gain_db': -28.19}, 2: {'drive_db': 33.57}, 4: {'depth': 0.86}}",,
19.mp3,"{5: {'wet_level': 0.58}, 4: {'depth': 0.85}, 0: {'rate_hz': 53.44}, 2: {'drive_db': 45.69}}",,
20.mp3,"{3: {'gain_db': -39.56}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 22.09}, 1: {'delay_seconds': 2.97}, 2: {'drive_db': 16.52}}",,
