audio_name,applied_effects,random_effects,similarity_indv,similarity_indv_effects_only
0.mp3,"{5: {'wet_level': 0.39}, 0: {'rate_hz': 3.02}, 1: {'delay_seconds': 4.69}, 2: {'drive_db': 2.34}, 3: {'gain_db': -7.01}}","{4: {'depth': 0.53}, 2: {'drive_db': 6.59}, 0: {'rate_hz': 7.26}, 5: {'wet_level': 0.54}}",0.3590703796295079,0.6000000000000001
1.mp3,"{1: {'delay_seconds': 1.25}, 0: {'rate_hz': 11.35}, 3: {'gain_db': -3.59}, 4: {'depth': 0.29}, 5: {'wet_level': 0.3}}","{2: {'drive_db': 14.49}, 4: {'depth': 0.42}, 3: {'gain_db': 7.64}, 5: {'wet_level': 0.21}, 1: {'delay_seconds': 1.89}, 0: {'rate_hz': 8.77}}",0.505726705519039,0.8333333333333333
2.mp3,"{2: {'drive_db': 1.18}, 1: {'delay_seconds': 4.98}, 5: {'wet_level': 0.52}}","{1: {'delay_seconds': 1.26}, 4: {'depth': 0.27}, 5: {'wet_level': 0.23}, 3: {'gain_db': -3.59}}",0.039769158291457246,0.5
3.mp3,"{4: {'depth': 0.42}, 3: {'gain_db': 7.84}}","{2: {'drive_db': 12.96}, 5: {'wet_level': 0.48}, 1: {'delay_seconds': 3.31}, 3: {'gain_db': 2.38}}",0.17348654708520178,0.25
4.mp3,"{2: {'drive_db': 19.45}, 0: {'rate_hz': 19.75}}","{3: {'gain_db': -7.11}, 0: {'rate_hz': 19.26}, 1: {'delay_seconds': 1.75}, 5: {'wet_level': 0.44}}",0.2434666666666667,0.25
5.mp3,"{2: {'drive_db': 3.52}, 5: {'wet_level': 0.56}, 1: {'delay_seconds': 1.17}, 4: {'depth': 0.44}}","{0: {'rate_hz': 3.37}, 4: {'depth': 0.4}}",0.20833333333333334,0.25
6.mp3,"{5: {'wet_level': 0.55}, 0: {'rate_hz': 4.57}}","{2: {'drive_db': 10.53}, 3: {'gain_db': 5.15}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 3.8}, 0: {'rate_hz': 11.35}, 4: {'depth': 0.33}}",0.24581365922908377,0.3333333333333333
7.mp3,"{0: {'rate_hz': 13.71}, 5: {'wet_level': 0.42}, 1: {'delay_seconds': 2.73}, 3: {'gain_db': 9.42}}","{3: {'gain_db': -6.0}, 5: {'wet_level': 0.38}}",0.25603876041569146,0.5
8.mp3,"{1: {'delay_seconds': 2.41}, 3: {'gain_db': 0.15}, 2: {'drive_db': 13.21}}",{5: {'wet_level': 0.22}},0.0,0.0
9.mp3,{3: {'gain_db': 0.57}},"{3: {'gain_db': 6.97}, 4: {'depth': 0.28}, 0: {'rate_hz': 13.55}, 2: {'drive_db': 13.81}}",0.09862819299905395,0.25
10.mp3,"{2: {'drive_db': 2.33}, 4: {'depth': 0.27}, 0: {'rate_hz': 7.74}}","{0: {'rate_hz': 10.67}, 1: {'delay_seconds': 3.26}, 4: {'depth': 0.26}}",0.5769027963155207,0.6666666666666666
11.mp3,"{4: {'depth': 0.45}, 3: {'gain_db': -5.56}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 3.73}, 2: {'drive_db': 16.35}}","{2: {'drive_db': 12.9}, 0: {'rate_hz': 7.04}, 3: {'gain_db': -8.79}, 1: {'delay_seconds': 1.27}, 4: {'depth': 0.35}, 5: {'wet_level': 0.2}}",0.37776030850292086,0.8333333333333333
12.mp3,"{3: {'gain_db': -9.03}, 2: {'drive_db': 12.49}}","{3: {'gain_db': -7.28}, 0: {'rate_hz': 15.16}, 5: {'wet_level': 0.23}, 1: {'delay_seconds': 2.23}, 2: {'drive_db': 13.69}, 4: {'depth': 0.44}}",0.3006002157740035,0.3333333333333333
13.mp3,"{3: {'gain_db': 8.91}, 5: {'wet_level': 0.47}, 1: {'delay_seconds': 2.7}, 4: {'depth': 0.54}, 0: {'rate_hz': 6.01}}","{5: {'wet_level': 0.55}, 3: {'gain_db': -8.08}, 2: {'drive_db': 10.06}, 0: {'rate_hz': 8.47}, 4: {'depth': 0.38}, 1: {'delay_seconds': 4.31}}",0.4098015271488885,0.8333333333333333
14.mp3,{4: {'depth': 0.24}},{5: {'wet_level': 0.6}},0.0,0.0
15.mp3,"{0: {'rate_hz': 19.04}, 3: {'gain_db': 1.32}, 1: {'delay_seconds': 4.79}, 4: {'depth': 0.21}, 2: {'drive_db': 12.44}}","{1: {'delay_seconds': 4.53}, 5: {'wet_level': 0.42}, 4: {'depth': 0.56}, 2: {'drive_db': 3.02}, 3: {'gain_db': 2.52}}",0.4209057757772527,0.8
16.mp3,"{5: {'wet_level': 0.58}, 4: {'depth': 0.55}, 2: {'drive_db': 11.28}, 0: {'rate_hz': 4.86}}",{2: {'drive_db': 5.55}},0.11065175097276264,0.25
17.mp3,{5: {'wet_level': 0.5}},"{0: {'rate_hz': 3.07}, 3: {'gain_db': 9.01}}",0.0,0.0
18.mp3,{2: {'drive_db': 18.79}},"{2: {'drive_db': 2.42}, 3: {'gain_db': -4.66}}",0.03991006183249024,0.5
19.mp3,"{0: {'rate_hz': 3.79}, 2: {'drive_db': 14.26}}","{2: {'drive_db': 4.33}, 3: {'gain_db': 0.05}}",0.1255656108597285,0.5
20.mp3,"{3: {'gain_db': 4.22}, 4: {'depth': 0.53}, 5: {'wet_level': 0.22}, 0: {'rate_hz': 18.91}, 1: {'delay_seconds': 1.72}, 2: {'drive_db': 19.95}}","{4: {'depth': 0.52}, 0: {'rate_hz': 9.05}, 5: {'wet_level': 0.22}, 2: {'drive_db': 8.51}, 3: {'gain_db': 6.28}, 1: {'delay_seconds': 2.47}}",0.7403246144021761,0.9999999999999999
21.mp3,"{0: {'rate_hz': 4.24}, 1: {'delay_seconds': 3.9}}","{3: {'gain_db': 5.85}, 2: {'drive_db': 18.59}, 1: {'delay_seconds': 4.78}}",0.23218390804597694,0.3333333333333333
