audio_name,applied_effects,GA_effects,similarity_indv,best_fit,similarity_indv_effects_only
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{5: {'wet_level': 0.22}, 4: {'depth': 0.49}}",0.11172779922779921,24.9092747366728,0.5
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{3: {'gain_db': -7.52}, 5: {'wet_level': 0.52}, 4: {'depth': 0.29}, 1: {'delay_seconds': 2.7}, 0: {'rate_hz': 7.03}}",0.4259147132600986,5.942400261888988,0.6000000000000001
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{4: {'depth': 0.34}, 0: {'rate_hz': 14.89}}",0.9536970993818357,6.58101452752541,1.0
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{1: {'delay_seconds': 2.35}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 4.74}, 2: {'drive_db': 18.99}, 3: {'gain_db': -2.71}}",0.6579663091251299,4.761258182014666,0.8
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{0: {'rate_hz': 4.06}, 1: {'delay_seconds': 4.16}, 5: {'wet_level': 0.25}, 3: {'gain_db': -5.89}}",0.46515399968573357,20.20695774124981,0.8
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{0: {'rate_hz': 2.43}, 3: {'gain_db': -3.06}}",0.5688139773646508,0.4278568243779651,0.6666666666666666
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{4: {'depth': 0.56}, 1: {'delay_seconds': 1.7}, 0: {'rate_hz': 4.87}, 5: {'wet_level': 0.26}}",0.47293546441168244,0.5588601627682607,0.6666666666666666
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{5: {'wet_level': 0.27}, 0: {'rate_hz': 2.59}, 3: {'gain_db': -9.87}}",0.298522765651291,5.769038266827555,0.75
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{0: {'rate_hz': 2.96}, 4: {'depth': 0.28}, 5: {'wet_level': 0.22}, 3: {'gain_db': -5.74}, 2: {'drive_db': 19.35}}",0.5874531571462105,8.272389431992634,0.8
9.mp3,{3: {'gain_db': 8.18}},{3: {'gain_db': -6.55}},0.18976897689768968,0.0540818328158106,1.0
