audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{5: {'wet_level': 0.29}, 4: {'depth': 0.51}, 2: {'drive_db': 12.29}}",0.2849039715650454,23.32135681327237,"[{5: {'wet_level': 0.25}, 4: {'depth': 0.5}}, {5: {'wet_level': 0.25}, 4: {'depth': 0.5}}, {5: {'wet_level': 0.25}, 4: {'depth': 0.5}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.29}, 4: {'depth': 0.51}, 2: {'drive_db': 12.29}}, {5: {'wet_level': 0.29}, 4: {'depth': 0.51}, 2: {'drive_db': 12.29}}]","[24.371632082329768, 24.371632082329768, 24.371632082329768, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.32135681327237, 23.32135681327237]","[0.12306949806949805, 0.12306949806949805, 0.12306949806949805, 0.13441119691119693, 0.13441119691119693, 0.13441119691119693, 0.13441119691119693, 0.13441119691119693, 0.13441119691119693, 0.13441119691119693, 0.13441119691119693, 0.13441119691119693, 0.13441119691119693, 0.2849039715650454, 0.2849039715650454]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{3: {'gain_db': -5.83}, 5: {'wet_level': 0.41}, 4: {'depth': 0.28}, 1: {'delay_seconds': 2.65}}",0.4578445747800587,5.9979419918208015,"[{3: {'gain_db': 0.74}, 0: {'rate_hz': 10.19}, 5: {'wet_level': 0.41}, 4: {'depth': 0.27}, 2: {'drive_db': 17.24}}, {3: {'gain_db': 0.74}, 0: {'rate_hz': 10.19}, 5: {'wet_level': 0.41}, 4: {'depth': 0.27}, 2: {'drive_db': 17.24}}, {2: {'drive_db': 4.34}, 5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 0: {'rate_hz': 6.6}}, {2: {'drive_db': 4.34}, 5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.49}, 3: {'gain_db': -7.33}}, {2: {'drive_db': 4.34}, 5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.49}, 3: {'gain_db': -7.33}}, {5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 3: {'gain_db': 5.96}, 0: {'rate_hz': 10.19}}, {5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 3: {'gain_db': 5.96}, 0: {'rate_hz': 10.19}}, {5: {'wet_level': 0.38}, 4: {'depth': 0.27}, 0: {'rate_hz': 10.19}}, {5: {'wet_level': 0.3}, 4: {'depth': 0.29}, 0: {'rate_hz': 10.19}, 3: {'gain_db': -5.65}}, {5: {'wet_level': 0.3}, 4: {'depth': 0.29}, 0: {'rate_hz': 10.19}, 3: {'gain_db': -5.65}}, {5: {'wet_level': 0.3}, 4: {'depth': 0.29}, 0: {'rate_hz': 10.19}, 3: {'gain_db': -5.65}}, {5: {'wet_level': 0.3}, 4: {'depth': 0.29}, 0: {'rate_hz': 10.19}, 3: {'gain_db': -5.65}}, {2: {'drive_db': 15.81}, 5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 3: {'gain_db': -5.83}, 0: {'rate_hz': 12.32}}, {3: {'gain_db': -5.83}, 5: {'wet_level': 0.41}, 4: {'depth': 0.28}, 1: {'delay_seconds': 2.65}}, {3: {'gain_db': -5.83}, 5: {'wet_level': 0.41}, 4: {'depth': 0.28}, 1: {'delay_seconds': 2.65}}]","[12.283538453412902, 12.283538453412902, 10.05800701507245, 9.137761209671435, 9.137761209671435, 8.624836768946603, 8.624836768946603, 8.123502798652028, 7.364822409016204, 7.364822409016204, 7.364822409016204, 7.364822409016204, 7.05165412872932, 5.9979419918208015, 5.9979419918208015]","[0.6684212081371449, 0.6684212081371449, 0.7446811566157769, 0.6507401679186922, 0.6507401679186922, 0.7252846751173998, 0.7252846751173998, 0.7172201589883676, 0.642440100337341, 0.642440100337341, 0.642440100337341, 0.642440100337341, 0.6860990238028468, 0.4578445747800587, 0.4578445747800587]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 14.29}, 4: {'depth': 0.39}}",0.911465763195435,9.489859573590584,"[{5: {'wet_level': 0.31}, 0: {'rate_hz': 14.35}, 4: {'depth': 0.38}}, {0: {'rate_hz': 12.75}, 4: {'depth': 0.37}, 3: {'gain_db': -3.51}}, {0: {'rate_hz': 16.66}, 4: {'depth': 0.42}}, {3: {'gain_db': 1.32}, 2: {'drive_db': 12.96}, 0: {'rate_hz': 16.0}, 4: {'depth': 0.41}}, {3: {'gain_db': 1.32}, 2: {'drive_db': 12.96}, 0: {'rate_hz': 16.0}, 4: {'depth': 0.41}}, {3: {'gain_db': 1.32}, 2: {'drive_db': 12.96}, 0: {'rate_hz': 16.0}, 4: {'depth': 0.41}}, {0: {'rate_hz': 16.0}, 4: {'depth': 0.4}, 2: {'drive_db': 6.72}}, {0: {'rate_hz': 16.0}, 4: {'depth': 0.4}, 2: {'drive_db': 6.72}}, {0: {'rate_hz': 14.54}, 4: {'depth': 0.4}, 3: {'gain_db': 9.13}}, {0: {'rate_hz': 14.54}, 4: {'depth': 0.4}, 3: {'gain_db': 9.13}}, {0: {'rate_hz': 14.54}, 4: {'depth': 0.4}, 3: {'gain_db': 9.13}}, {4: {'depth': 0.35}, 0: {'rate_hz': 13.71}, 2: {'drive_db': 5.13}, 3: {'gain_db': -7.3}}, {0: {'rate_hz': 12.52}, 3: {'gain_db': 1.16}, 4: {'depth': 0.38}}, {0: {'rate_hz': 12.52}, 3: {'gain_db': 1.16}, 4: {'depth': 0.38}}, {0: {'rate_hz': 14.29}, 4: {'depth': 0.39}}]","[18.15488769538034, 13.386889712477354, 12.433093346572242, 11.37157745737986, 11.37157745737986, 11.37157745737986, 11.080363371399963, 11.080363371399963, 10.131705617419101, 10.131705617419101, 10.131705617419101, 9.895052042995333, 9.618124724949887, 9.618124724949887, 9.489859573590584]","[0.6229592645427167, 0.5988072594705975, 0.8165121255349501, 0.43044163100332855, 0.43044163100332855, 0.43044163100332855, 0.5878110635599936, 0.5878110635599936, 0.5996988429228085, 0.5996988429228085, 0.5996988429228085, 0.4662238468854018, 0.5794499920748137, 0.5794499920748137, 0.911465763195435]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{2: {'drive_db': 11.19}, 5: {'wet_level': 0.37}, 1: {'delay_seconds': 2.46}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 4.57}}",0.7237644518719236,6.122125829529909,"[{5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {1: {'delay_seconds': 2.46}, 5: {'wet_level': 0.42}, 4: {'depth': 0.44}, 0: {'rate_hz': 3.67}, 2: {'drive_db': 13.98}, 3: {'gain_db': -1.15}}, {1: {'delay_seconds': 2.46}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 7.79}, 2: {'drive_db': 8.68}}, {1: {'delay_seconds': 2.46}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 7.79}, 2: {'drive_db': 8.68}}, {1: {'delay_seconds': 2.46}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 7.79}, 2: {'drive_db': 8.68}}, {1: {'delay_seconds': 2.31}, 5: {'wet_level': 0.43}, 0: {'rate_hz': 4.68}, 3: {'gain_db': -8.32}}, {1: {'delay_seconds': 2.31}, 5: {'wet_level': 0.43}, 0: {'rate_hz': 4.68}, 3: {'gain_db': -8.32}}, {1: {'delay_seconds': 2.31}, 5: {'wet_level': 0.43}, 0: {'rate_hz': 4.68}, 3: {'gain_db': -8.32}}, {2: {'drive_db': 11.19}, 5: {'wet_level': 0.37}, 1: {'delay_seconds': 2.46}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 4.57}}, {2: {'drive_db': 11.19}, 5: {'wet_level': 0.37}, 1: {'delay_seconds': 2.46}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 4.57}}]","[6.543493522592027, 6.543493522592027, 6.543493522592027, 6.543493522592027, 6.543493522592027, 6.543493522592027, 6.455263722433785, 6.37055980212806, 6.37055980212806, 6.37055980212806, 6.2975627064010755, 6.2975627064010755, 6.2975627064010755, 6.122125829529909, 6.122125829529909]","[0.646899324027206, 0.646899324027206, 0.646899324027206, 0.646899324027206, 0.646899324027206, 0.646899324027206, 0.6170540398867761, 0.6129491670050454, 0.6129491670050454, 0.6129491670050454, 0.6796518700438441, 0.6796518700438441, 0.6796518700438441, 0.7237644518719236, 0.7237644518719236]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}",0.40250030581177665,16.930964789271062,"[{0: {'rate_hz': 4.54}, 3: {'gain_db': 0.36}, 5: {'wet_level': 0.29}, 2: {'drive_db': 13.07}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.06}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}]","[26.19458639627205, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 16.930964789271062, 16.930964789271062, 16.930964789271062, 16.930964789271062, 16.930964789271062, 16.930964789271062]","[0.5143709076228405, 0.5758778489115073, 0.5758778489115073, 0.5758778489115073, 0.5758778489115073, 0.5758778489115073, 0.5758778489115073, 0.5758778489115073, 0.5758778489115073, 0.40250030581177665, 0.40250030581177665, 0.40250030581177665, 0.40250030581177665, 0.40250030581177665, 0.40250030581177665]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}",0.29954469206805656,0.2102141836199771,"[{0: {'rate_hz': 3.79}, 4: {'depth': 0.38}, 2: {'drive_db': 11.75}, 5: {'wet_level': 0.59}}, {0: {'rate_hz': 3.79}, 4: {'depth': 0.38}, 2: {'drive_db': 11.75}, 5: {'wet_level': 0.59}}, {0: {'rate_hz': 3.79}, 4: {'depth': 0.38}, 2: {'drive_db': 11.75}, 5: {'wet_level': 0.59}}, {0: {'rate_hz': 3.79}, 4: {'depth': 0.38}, 2: {'drive_db': 11.75}, 5: {'wet_level': 0.59}}, {4: {'depth': 0.53}, 0: {'rate_hz': 8.81}, 3: {'gain_db': -3.2}}, {4: {'depth': 0.53}, 0: {'rate_hz': 8.81}, 3: {'gain_db': -3.2}}, {4: {'depth': 0.53}, 0: {'rate_hz': 8.81}, 3: {'gain_db': -3.2}}, {2: {'drive_db': 6.46}, 0: {'rate_hz': 2.59}, 4: {'depth': 0.32}, 3: {'gain_db': -2.12}, 1: {'delay_seconds': 1.38}}, {2: {'drive_db': 6.46}, 0: {'rate_hz': 2.59}, 4: {'depth': 0.32}, 3: {'gain_db': -2.12}, 1: {'delay_seconds': 1.38}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}]","[0.32016247133403974, 0.32016247133403974, 0.32016247133403974, 0.32016247133403974, 0.30929765073372056, 0.30929765073372056, 0.30929765073372056, 0.25757966521706827, 0.25757966521706827, 0.21021418361997712, 0.21021418361997712, 0.21021418361997712, 0.21021418361997712, 0.21021418361997712, 0.21021418361997712]","[0.3397817136134893, 0.3397817136134893, 0.3397817136134893, 0.3397817136134893, 0.5948042271960428, 0.5948042271960428, 0.5948042271960428, 0.5017870659123854, 0.5017870659123854, 0.29954469206805656, 0.29954469206805656, 0.29954469206805656, 0.29954469206805656, 0.29954469206805656, 0.29954469206805656]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.42}, 5: {'wet_level': 0.34}, 3: {'gain_db': -9.1}, 2: {'drive_db': 19.09}}",0.7078362667677738,0.0912728057686462,"[{4: {'depth': 0.57}, 1: {'delay_seconds': 1.97}, 2: {'drive_db': 4.25}, 0: {'rate_hz': 8.67}}, {4: {'depth': 0.57}, 1: {'delay_seconds': 1.97}, 2: {'drive_db': 4.25}, 0: {'rate_hz': 8.67}}, {1: {'delay_seconds': 1.35}, 4: {'depth': 0.51}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.82}, 2: {'drive_db': 19.04}}, {1: {'delay_seconds': 2.28}, 4: {'depth': 0.43}, 3: {'gain_db': -1.07}, 5: {'wet_level': 0.41}}, {1: {'delay_seconds': 1.35}, 4: {'depth': 0.51}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.82}, 2: {'drive_db': 15.79}, 3: {'gain_db': 4.83}}, {1: {'delay_seconds': 1.35}, 4: {'depth': 0.51}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.82}, 2: {'drive_db': 15.79}, 3: {'gain_db': 4.83}}, {1: {'delay_seconds': 1.35}, 4: {'depth': 0.51}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.82}, 2: {'drive_db': 15.79}, 3: {'gain_db': 4.83}}, {0: {'rate_hz': 3.36}, 4: {'depth': 0.43}, 2: {'drive_db': 14.89}, 3: {'gain_db': -4.68}, 1: {'delay_seconds': 1.35}}, {0: {'rate_hz': 3.36}, 4: {'depth': 0.43}, 2: {'drive_db': 14.89}, 3: {'gain_db': -4.68}, 1: {'delay_seconds': 1.35}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.43}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.39}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.39}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.39}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.39}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.42}, 5: {'wet_level': 0.34}, 3: {'gain_db': -9.1}, 2: {'drive_db': 19.09}}]","[0.5731158536111388, 0.5731158536111388, 0.5063879947139969, 0.5003139500434025, 0.48913172896824264, 0.48913172896824264, 0.48913172896824264, 0.3837518700057308, 0.3837518700057308, 0.1906066777433289, 0.1671176107291639, 0.1671176107291639, 0.1671176107291639, 0.1671176107291639, 0.09127280576864621]","[0.37281273779077145, 0.37281273779077145, 0.6482749283964445, 0.5036245386151981, 0.7286748590304851, 0.7286748590304851, 0.7286748590304851, 0.6137420015426605, 0.6137420015426605, 0.6063423358620781, 0.6063423358620782, 0.6063423358620782, 0.6063423358620782, 0.6063423358620782, 0.7078362667677738]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}",0.47024428788838607,5.458680737516432,"[{3: {'gain_db': 9.02}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.64}}, {3: {'gain_db': 9.02}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.36}, 0: {'rate_hz': 2.64}, 2: {'drive_db': 11.92}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}]","[6.89812771160513, 6.89812771160513, 6.091144046048432, 5.954033171429206, 5.50888365115754, 5.50888365115754, 5.50888365115754, 5.50888365115754, 5.50888365115754, 5.50888365115754, 5.458680737516432, 5.458680737516432, 5.458680737516432, 5.458680737516432, 5.458680737516432]","[0.355337928450737, 0.355337928450737, 0.513876931243878, 0.3244289298210867, 0.28395920439856215, 0.28395920439856215, 0.28395920439856215, 0.28395920439856215, 0.28395920439856215, 0.28395920439856215, 0.47024428788838607, 0.47024428788838607, 0.47024428788838607, 0.47024428788838607, 0.47024428788838607]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{0: {'rate_hz': 2.11}, 4: {'depth': 0.24}, 5: {'wet_level': 0.39}, 2: {'drive_db': 14.63}}",0.6701566951566951,8.709057187098528,"[{0: {'rate_hz': 3.98}, 4: {'depth': 0.23}}, {0: {'rate_hz': 3.98}, 4: {'depth': 0.23}}, {0: {'rate_hz': 3.98}, 2: {'drive_db': 15.87}, 4: {'depth': 0.25}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.26}, 2: {'drive_db': 2.62}, 5: {'wet_level': 0.31}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.26}, 2: {'drive_db': 2.62}, 5: {'wet_level': 0.31}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.25}, 5: {'wet_level': 0.34}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.25}, 5: {'wet_level': 0.34}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.25}, 5: {'wet_level': 0.34}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.28}, 3: {'gain_db': 1.52}, 2: {'drive_db': 5.85}, 5: {'wet_level': 0.29}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.28}, 3: {'gain_db': 1.52}, 2: {'drive_db': 5.85}, 5: {'wet_level': 0.29}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.28}, 3: {'gain_db': 1.52}, 2: {'drive_db': 5.85}, 5: {'wet_level': 0.29}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.28}, 3: {'gain_db': 1.52}, 2: {'drive_db': 5.85}, 5: {'wet_level': 0.29}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.24}, 5: {'wet_level': 0.39}, 2: {'drive_db': 14.63}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.24}, 5: {'wet_level': 0.39}, 2: {'drive_db': 14.63}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.24}, 5: {'wet_level': 0.39}, 2: {'drive_db': 14.63}}]","[14.9872567325976, 14.9872567325976, 14.64498668010337, 11.83417890791054, 11.83417890791054, 10.234491978086309, 10.234491978086309, 10.234491978086309, 9.646696781306936, 9.646696781306936, 9.646696781306936, 9.646696781306936, 8.709057187098528, 8.709057187098528, 8.709057187098528]","[0.47126068376068375, 0.47126068376068375, 0.47126068376068375, 0.7272079772079773, 0.7272079772079773, 0.7048789173789174, 0.7048789173789174, 0.7048789173789174, 0.7533430908228971, 0.7533430908228971, 0.7533430908228971, 0.7533430908228971, 0.6701566951566951, 0.6701566951566951, 0.6701566951566951]"
9.mp3,{3: {'gain_db': 8.18}},{2: {'drive_db': 15.65}},0.0,0.0290743089993357,[{2: {'drive_db': 15.65}}],[0.02907430899933573],[0.0]
