audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{5: {'wet_level': 0.29}, 4: {'depth': 0.51}, 2: {'drive_db': 12.29}}",0.6162256401747775,23.32135681327237,"[{5: {'wet_level': 0.25}, 4: {'depth': 0.5}}, {5: {'wet_level': 0.25}, 4: {'depth': 0.5}}, {5: {'wet_level': 0.25}, 4: {'depth': 0.5}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.51}}, {5: {'wet_level': 0.29}, 4: {'depth': 0.51}, 2: {'drive_db': 12.29}}, {5: {'wet_level': 0.29}, 4: {'depth': 0.51}, 2: {'drive_db': 12.29}}]","[24.371632082329768, 24.371632082329768, 24.371632082329768, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.51317674251321, 23.32135681327237, 23.32135681327237]","[0.5984549227370929, 0.5984549227370929, 0.5984549227370929, 0.6069615924431623, 0.6069615924431623, 0.6069615924431623, 0.6069615924431623, 0.6069615924431623, 0.6069615924431623, 0.6069615924431623, 0.6069615924431623, 0.6069615924431623, 0.6069615924431623, 0.6162256401747775, 0.6162256401747775]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{3: {'gain_db': -5.83}, 5: {'wet_level': 0.41}, 4: {'depth': 0.28}, 1: {'delay_seconds': 2.65}}",0.6011984040115148,5.9979419918208015,"[{3: {'gain_db': 0.74}, 0: {'rate_hz': 10.19}, 5: {'wet_level': 0.41}, 4: {'depth': 0.27}, 2: {'drive_db': 17.24}}, {3: {'gain_db': 0.74}, 0: {'rate_hz': 10.19}, 5: {'wet_level': 0.41}, 4: {'depth': 0.27}, 2: {'drive_db': 17.24}}, {2: {'drive_db': 4.34}, 5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 0: {'rate_hz': 6.6}}, {2: {'drive_db': 4.34}, 5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.49}, 3: {'gain_db': -7.33}}, {2: {'drive_db': 4.34}, 5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.49}, 3: {'gain_db': -7.33}}, {5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 3: {'gain_db': 5.96}, 0: {'rate_hz': 10.19}}, {5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 3: {'gain_db': 5.96}, 0: {'rate_hz': 10.19}}, {5: {'wet_level': 0.38}, 4: {'depth': 0.27}, 0: {'rate_hz': 10.19}}, {5: {'wet_level': 0.3}, 4: {'depth': 0.29}, 0: {'rate_hz': 10.19}, 3: {'gain_db': -5.65}}, {5: {'wet_level': 0.3}, 4: {'depth': 0.29}, 0: {'rate_hz': 10.19}, 3: {'gain_db': -5.65}}, {5: {'wet_level': 0.3}, 4: {'depth': 0.29}, 0: {'rate_hz': 10.19}, 3: {'gain_db': -5.65}}, {5: {'wet_level': 0.3}, 4: {'depth': 0.29}, 0: {'rate_hz': 10.19}, 3: {'gain_db': -5.65}}, {2: {'drive_db': 15.81}, 5: {'wet_level': 0.38}, 4: {'depth': 0.28}, 3: {'gain_db': -5.83}, 0: {'rate_hz': 12.32}}, {3: {'gain_db': -5.83}, 5: {'wet_level': 0.41}, 4: {'depth': 0.28}, 1: {'delay_seconds': 2.65}}, {3: {'gain_db': -5.83}, 5: {'wet_level': 0.41}, 4: {'depth': 0.28}, 1: {'delay_seconds': 2.65}}]","[12.283538453412902, 12.283538453412902, 10.05800701507245, 9.137761209671435, 9.137761209671435, 8.624836768946603, 8.624836768946603, 8.123502798652028, 7.364822409016204, 7.364822409016204, 7.364822409016204, 7.364822409016204, 7.05165412872932, 5.9979419918208015, 5.9979419918208015]","[0.7601427121838518, 0.7601427121838518, 0.8197006989393386, 0.8211196732552841, 0.8211196732552841, 0.5836142057783075, 0.5836142057783075, 0.740419533634523, 0.7206361310113703, 0.7206361310113703, 0.7206361310113703, 0.7206361310113703, 0.8787121002340726, 0.6011984040115148, 0.6011984040115148]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 14.29}, 4: {'depth': 0.39}}",0.9747273204164392,9.489859573590584,"[{5: {'wet_level': 0.31}, 0: {'rate_hz': 14.35}, 4: {'depth': 0.38}}, {0: {'rate_hz': 12.75}, 4: {'depth': 0.37}, 3: {'gain_db': -3.51}}, {0: {'rate_hz': 16.66}, 4: {'depth': 0.42}}, {3: {'gain_db': 1.32}, 2: {'drive_db': 12.96}, 0: {'rate_hz': 16.0}, 4: {'depth': 0.41}}, {3: {'gain_db': 1.32}, 2: {'drive_db': 12.96}, 0: {'rate_hz': 16.0}, 4: {'depth': 0.41}}, {3: {'gain_db': 1.32}, 2: {'drive_db': 12.96}, 0: {'rate_hz': 16.0}, 4: {'depth': 0.41}}, {0: {'rate_hz': 16.0}, 4: {'depth': 0.4}, 2: {'drive_db': 6.72}}, {0: {'rate_hz': 16.0}, 4: {'depth': 0.4}, 2: {'drive_db': 6.72}}, {0: {'rate_hz': 14.54}, 4: {'depth': 0.4}, 3: {'gain_db': 9.13}}, {0: {'rate_hz': 14.54}, 4: {'depth': 0.4}, 3: {'gain_db': 9.13}}, {0: {'rate_hz': 14.54}, 4: {'depth': 0.4}, 3: {'gain_db': 9.13}}, {4: {'depth': 0.35}, 0: {'rate_hz': 13.71}, 2: {'drive_db': 5.13}, 3: {'gain_db': -7.3}}, {0: {'rate_hz': 12.52}, 3: {'gain_db': 1.16}, 4: {'depth': 0.38}}, {0: {'rate_hz': 12.52}, 3: {'gain_db': 1.16}, 4: {'depth': 0.38}}, {0: {'rate_hz': 14.29}, 4: {'depth': 0.39}}]","[18.15488769538034, 13.386889712477354, 12.433093346572242, 11.37157745737986, 11.37157745737986, 11.37157745737986, 11.080363371399963, 11.080363371399963, 10.131705617419101, 10.131705617419101, 10.131705617419101, 9.895052042995333, 9.618124724949887, 9.618124724949887, 9.489859573590584]","[0.788191200389142, 0.8594888629694086, 0.9472047981978159, 0.6465396192771519, 0.6465396192771519, 0.6465396192771519, 0.8587310812407506, 0.8587310812407506, 0.6084405761478757, 0.6084405761478757, 0.6084405761478757, 0.8784919222316353, 0.7661552826086253, 0.7661552826086253, 0.9747273204164392]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{2: {'drive_db': 11.19}, 5: {'wet_level': 0.37}, 1: {'delay_seconds': 2.46}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 4.57}}",0.6956557519907821,6.122125829529909,"[{5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.79}, 1: {'delay_seconds': 2.65}}, {1: {'delay_seconds': 2.46}, 5: {'wet_level': 0.42}, 4: {'depth': 0.44}, 0: {'rate_hz': 3.67}, 2: {'drive_db': 13.98}, 3: {'gain_db': -1.15}}, {1: {'delay_seconds': 2.46}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 7.79}, 2: {'drive_db': 8.68}}, {1: {'delay_seconds': 2.46}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 7.79}, 2: {'drive_db': 8.68}}, {1: {'delay_seconds': 2.46}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 7.79}, 2: {'drive_db': 8.68}}, {1: {'delay_seconds': 2.31}, 5: {'wet_level': 0.43}, 0: {'rate_hz': 4.68}, 3: {'gain_db': -8.32}}, {1: {'delay_seconds': 2.31}, 5: {'wet_level': 0.43}, 0: {'rate_hz': 4.68}, 3: {'gain_db': -8.32}}, {1: {'delay_seconds': 2.31}, 5: {'wet_level': 0.43}, 0: {'rate_hz': 4.68}, 3: {'gain_db': -8.32}}, {2: {'drive_db': 11.19}, 5: {'wet_level': 0.37}, 1: {'delay_seconds': 2.46}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 4.57}}, {2: {'drive_db': 11.19}, 5: {'wet_level': 0.37}, 1: {'delay_seconds': 2.46}, 0: {'rate_hz': 4.68}, 3: {'gain_db': 4.57}}]","[6.543493522592027, 6.543493522592027, 6.543493522592027, 6.543493522592027, 6.543493522592027, 6.543493522592027, 6.455263722433785, 6.37055980212806, 6.37055980212806, 6.37055980212806, 6.2975627064010755, 6.2975627064010755, 6.2975627064010755, 6.122125829529909, 6.122125829529909]","[0.7064966086384337, 0.7064966086384337, 0.7064966086384337, 0.7064966086384337, 0.7064966086384337, 0.7064966086384337, 0.6487611277629277, 0.6144814098732289, 0.6144814098732289, 0.6144814098732289, 0.7062899120889091, 0.7062899120889091, 0.7062899120889091, 0.6956557519907821, 0.6956557519907821]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}",0.6132628416745687,16.930964789271062,"[{0: {'rate_hz': 4.54}, 3: {'gain_db': 0.36}, 5: {'wet_level': 0.29}, 2: {'drive_db': 13.07}, 4: {'depth': 0.55}, 1: {'delay_seconds': 4.06}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {4: {'depth': 0.56}, 1: {'delay_seconds': 3.55}, 5: {'wet_level': 0.51}, 0: {'rate_hz': 2.5}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}, {1: {'delay_seconds': 3.96}, 0: {'rate_hz': 2.43}, 5: {'wet_level': 0.21}}]","[26.19458639627205, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 19.533793929182618, 16.930964789271062, 16.930964789271062, 16.930964789271062, 16.930964789271062, 16.930964789271062, 16.930964789271062]","[0.6216745840280218, 0.6665098077404173, 0.6665098077404173, 0.6665098077404173, 0.6665098077404173, 0.6665098077404173, 0.6665098077404173, 0.6665098077404173, 0.6665098077404173, 0.6132628416745687, 0.6132628416745687, 0.6132628416745687, 0.6132628416745687, 0.6132628416745687, 0.6132628416745687]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}",0.6047295171282964,0.2102141836199771,"[{0: {'rate_hz': 3.79}, 4: {'depth': 0.38}, 2: {'drive_db': 11.75}, 5: {'wet_level': 0.59}}, {0: {'rate_hz': 3.79}, 4: {'depth': 0.38}, 2: {'drive_db': 11.75}, 5: {'wet_level': 0.59}}, {0: {'rate_hz': 3.79}, 4: {'depth': 0.38}, 2: {'drive_db': 11.75}, 5: {'wet_level': 0.59}}, {0: {'rate_hz': 3.79}, 4: {'depth': 0.38}, 2: {'drive_db': 11.75}, 5: {'wet_level': 0.59}}, {4: {'depth': 0.53}, 0: {'rate_hz': 8.81}, 3: {'gain_db': -3.2}}, {4: {'depth': 0.53}, 0: {'rate_hz': 8.81}, 3: {'gain_db': -3.2}}, {4: {'depth': 0.53}, 0: {'rate_hz': 8.81}, 3: {'gain_db': -3.2}}, {2: {'drive_db': 6.46}, 0: {'rate_hz': 2.59}, 4: {'depth': 0.32}, 3: {'gain_db': -2.12}, 1: {'delay_seconds': 1.38}}, {2: {'drive_db': 6.46}, 0: {'rate_hz': 2.59}, 4: {'depth': 0.32}, 3: {'gain_db': -2.12}, 1: {'delay_seconds': 1.38}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}, {0: {'rate_hz': 7.5}, 4: {'depth': 0.53}}]","[0.32016247133403974, 0.32016247133403974, 0.32016247133403974, 0.32016247133403974, 0.30929765073372056, 0.30929765073372056, 0.30929765073372056, 0.25757966521706827, 0.25757966521706827, 0.21021418361997712, 0.21021418361997712, 0.21021418361997712, 0.21021418361997712, 0.21021418361997712, 0.21021418361997712]","[0.47914192503210695, 0.47914192503210695, 0.47914192503210695, 0.47914192503210695, 0.6248248680554245, 0.6248248680554245, 0.6248248680554245, 0.7392984003231394, 0.7392984003231394, 0.6047295171282964, 0.6047295171282964, 0.6047295171282964, 0.6047295171282964, 0.6047295171282964, 0.6047295171282964]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.42}, 5: {'wet_level': 0.34}, 3: {'gain_db': -9.1}, 2: {'drive_db': 19.09}}",0.7603349366457586,0.0912728057686462,"[{4: {'depth': 0.57}, 1: {'delay_seconds': 1.97}, 2: {'drive_db': 4.25}, 0: {'rate_hz': 8.67}}, {4: {'depth': 0.57}, 1: {'delay_seconds': 1.97}, 2: {'drive_db': 4.25}, 0: {'rate_hz': 8.67}}, {1: {'delay_seconds': 1.35}, 4: {'depth': 0.51}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.82}, 2: {'drive_db': 19.04}}, {1: {'delay_seconds': 2.28}, 4: {'depth': 0.43}, 3: {'gain_db': -1.07}, 5: {'wet_level': 0.41}}, {1: {'delay_seconds': 1.35}, 4: {'depth': 0.51}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.82}, 2: {'drive_db': 15.79}, 3: {'gain_db': 4.83}}, {1: {'delay_seconds': 1.35}, 4: {'depth': 0.51}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.82}, 2: {'drive_db': 15.79}, 3: {'gain_db': 4.83}}, {1: {'delay_seconds': 1.35}, 4: {'depth': 0.51}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.82}, 2: {'drive_db': 15.79}, 3: {'gain_db': 4.83}}, {0: {'rate_hz': 3.36}, 4: {'depth': 0.43}, 2: {'drive_db': 14.89}, 3: {'gain_db': -4.68}, 1: {'delay_seconds': 1.35}}, {0: {'rate_hz': 3.36}, 4: {'depth': 0.43}, 2: {'drive_db': 14.89}, 3: {'gain_db': -4.68}, 1: {'delay_seconds': 1.35}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.43}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.39}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.39}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.39}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.39}, 2: {'drive_db': 14.89}, 3: {'gain_db': -9.1}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 3.36}, 1: {'delay_seconds': 1.12}, 4: {'depth': 0.42}, 5: {'wet_level': 0.34}, 3: {'gain_db': -9.1}, 2: {'drive_db': 19.09}}]","[0.5731158536111388, 0.5731158536111388, 0.5063879947139969, 0.5003139500434025, 0.48913172896824264, 0.48913172896824264, 0.48913172896824264, 0.3837518700057308, 0.3837518700057308, 0.1906066777433289, 0.1671176107291639, 0.1671176107291639, 0.1671176107291639, 0.1671176107291639, 0.09127280576864621]","[0.5704925031913706, 0.5704925031913706, 0.7361968765102221, 0.5545976330119938, 0.8266823591505191, 0.8266823591505191, 0.8266823591505191, 0.7483523001996346, 0.7483523001996346, 0.7177876915564507, 0.7177876915564507, 0.7177876915564507, 0.7177876915564507, 0.7177876915564507, 0.7603349366457586]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}",0.768923553614666,5.458680737516432,"[{3: {'gain_db': 9.02}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.64}}, {3: {'gain_db': 9.02}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.36}, 0: {'rate_hz': 2.64}, 2: {'drive_db': 11.92}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.24}, 3: {'gain_db': -9.49}, 0: {'rate_hz': 2.64}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}, {5: {'wet_level': 0.31}, 0: {'rate_hz': 2.64}, 3: {'gain_db': 6.42}}]","[6.89812771160513, 6.89812771160513, 6.091144046048432, 5.954033171429206, 5.50888365115754, 5.50888365115754, 5.50888365115754, 5.50888365115754, 5.50888365115754, 5.50888365115754, 5.458680737516432, 5.458680737516432, 5.458680737516432, 5.458680737516432, 5.458680737516432]","[0.7055887387671104, 0.7055887387671104, 0.7134528834554428, 0.6843324680288757, 0.6653292040427389, 0.6653292040427389, 0.6653292040427389, 0.6653292040427389, 0.6653292040427389, 0.6653292040427389, 0.768923553614666, 0.768923553614666, 0.768923553614666, 0.768923553614666, 0.768923553614666]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{0: {'rate_hz': 2.11}, 4: {'depth': 0.24}, 5: {'wet_level': 0.39}, 2: {'drive_db': 14.63}}",0.6039692246807074,8.709057187098528,"[{0: {'rate_hz': 3.98}, 4: {'depth': 0.23}}, {0: {'rate_hz': 3.98}, 4: {'depth': 0.23}}, {0: {'rate_hz': 3.98}, 2: {'drive_db': 15.87}, 4: {'depth': 0.25}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.26}, 2: {'drive_db': 2.62}, 5: {'wet_level': 0.31}}, {0: {'rate_hz': 2.41}, 4: {'depth': 0.26}, 2: {'drive_db': 2.62}, 5: {'wet_level': 0.31}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.25}, 5: {'wet_level': 0.34}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.25}, 5: {'wet_level': 0.34}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.25}, 5: {'wet_level': 0.34}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.28}, 3: {'gain_db': 1.52}, 2: {'drive_db': 5.85}, 5: {'wet_level': 0.29}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.28}, 3: {'gain_db': 1.52}, 2: {'drive_db': 5.85}, 5: {'wet_level': 0.29}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.28}, 3: {'gain_db': 1.52}, 2: {'drive_db': 5.85}, 5: {'wet_level': 0.29}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.28}, 3: {'gain_db': 1.52}, 2: {'drive_db': 5.85}, 5: {'wet_level': 0.29}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.24}, 5: {'wet_level': 0.39}, 2: {'drive_db': 14.63}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.24}, 5: {'wet_level': 0.39}, 2: {'drive_db': 14.63}}, {0: {'rate_hz': 2.11}, 4: {'depth': 0.24}, 5: {'wet_level': 0.39}, 2: {'drive_db': 14.63}}]","[14.9872567325976, 14.9872567325976, 14.64498668010337, 11.83417890791054, 11.83417890791054, 10.234491978086309, 10.234491978086309, 10.234491978086309, 9.646696781306936, 9.646696781306936, 9.646696781306936, 9.646696781306936, 8.709057187098528, 8.709057187098528, 8.709057187098528]","[0.6735823156910312, 0.6735823156910312, 0.5401207988725413, 0.7412482241964676, 0.7412482241964676, 0.7456471537993522, 0.7456471537993522, 0.7456471537993522, 0.8758922026205831, 0.8758922026205831, 0.8758922026205831, 0.8758922026205831, 0.6039692246807074, 0.6039692246807074, 0.6039692246807074]"
9.mp3,{3: {'gain_db': 8.18}},{2: {'drive_db': 15.65}},0.5103424240689555,0.0290743089993357,[{2: {'drive_db': 15.65}}],[0.02907430899933573],[0.5103424240689555]
