audio_name,applied_effects,GA_effects,similarity_indv,best_fit
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{2: {'drive_db': 8.62}, 3: {'gain_db': -4.1}, 4: {'depth': 0.27}, 1: {'delay_seconds': 2.43}}",0.5976615736455039,
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{4: {'depth': 0.44}, 5: {'wet_level': 0.29}, 0: {'rate_hz': 3.83}, 1: {'delay_seconds': 2.41}, 3: {'gain_db': -0.93}}",0.34815043963304415,
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 8.85}, 4: {'depth': 0.56}}",0.516829412635005,
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{5: {'wet_level': 0.27}, 2: {'drive_db': 12.7}, 0: {'rate_hz': 2.43}, 1: {'delay_seconds': 3.04}}",0.8039388888164696,
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{4: {'depth': 0.56}, 3: {'gain_db': 4.54}, 2: {'drive_db': 14.59}, 5: {'wet_level': 0.23}}",0.2880649449777333,
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{4: {'depth': 0.36}, 2: {'drive_db': 1.7}}",0.2788726425090061,
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{4: {'depth': 0.46}, 2: {'drive_db': 17.74}, 3: {'gain_db': -2.06}, 0: {'rate_hz': 14.1}}",0.5312917530962984,
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{4: {'depth': 0.48}, 5: {'wet_level': 0.25}, 1: {'delay_seconds': 1.87}, 3: {'gain_db': -7.3}}",0.24501830728066468,
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}",{4: {'depth': 0.38}},0.15277777777777776,
9.mp3,{3: {'gain_db': 8.18}},{2: {'drive_db': 7.96}},0.0,
10.mp3,"{2: {'drive_db': 6.59}, 0: {'rate_hz': 18.59}}","{4: {'depth': 0.41}, 1: {'delay_seconds': 2.66}, 0: {'rate_hz': 14.17}, 2: {'drive_db': 18.09}, 5: {'wet_level': 0.33}, 3: {'gain_db': 4.75}}",0.15077813064390244,
11.mp3,"{5: {'wet_level': 0.3}, 0: {'rate_hz': 4.78}, 4: {'depth': 0.22}, 2: {'drive_db': 18.85}, 3: {'gain_db': -5.75}, 1: {'delay_seconds': 1.46}}","{2: {'drive_db': 19.76}, 0: {'rate_hz': 4.16}, 5: {'wet_level': 0.34}, 3: {'gain_db': 6.2}, 1: {'delay_seconds': 4.8}, 4: {'depth': 0.4}}",0.6493983709099197,
12.mp3,"{5: {'wet_level': 0.4}, 3: {'gain_db': -3.81}}","{3: {'gain_db': -9.91}, 5: {'wet_level': 0.59}}",0.6344025619487611,
