applied_effects,random_effects,similarity_indv
"{3: {'gain_db': 24.31}, 2: {'drive_db': 49.52}, 4: {'depth': 0.06}}","{4: {'depth': 0.99}, 5: {'wet_level': 0.39}}",0.0035460992907801283
{5: {'wet_level': 0.23}},"{5: {'wet_level': 0.52}, 2: {'drive_db': 9.83}, 1: {'delay_seconds': 9.61}, 3: {'gain_db': -43.25}, 0: {'rate_hz': 32.8}}",0.12467532467532468
"{3: {'gain_db': -29.31}, 5: {'wet_level': 0.69}, 0: {'rate_hz': 11.06}, 4: {'depth': 0.43}, 1: {'delay_seconds': 7.55}, 2: {'drive_db': 30.16}}","{3: {'gain_db': 9.98}, 4: {'depth': 0.01}, 0: {'rate_hz': 36.32}, 2: {'drive_db': 44.68}}",0.33371933910672547
"{4: {'depth': 0.64}, 0: {'rate_hz': 77.0}, 2: {'drive_db': 18.63}, 3: {'gain_db': -38.21}, 1: {'delay_seconds': 2.85}}","{4: {'depth': 0.91}, 5: {'wet_level': 0.5}, 2: {'drive_db': 46.2}, 0: {'rate_hz': 5.16}}",0.15325456584378325
"{2: {'drive_db': 14.39}, 3: {'gain_db': -20.26}}","{0: {'rate_hz': 0.23}, 3: {'gain_db': 8.43}, 5: {'wet_level': 0.57}}",0.1972198500806528
"{0: {'rate_hz': 7.54}, 2: {'drive_db': 7.84}, 3: {'gain_db': -18.16}, 1: {'delay_seconds': 3.63}}",{0: {'rate_hz': 98.33}},0.004515466147523267
"{2: {'drive_db': 36.06}, 4: {'depth': 0.32}, 5: {'wet_level': 0.42}, 3: {'gain_db': 41.98}, 1: {'delay_seconds': 2.56}}",{4: {'depth': 0.06}},0.12352941176470589
{2: {'drive_db': 6.1}},"{4: {'depth': 0.43}, 3: {'gain_db': 4.22}, 0: {'rate_hz': 95.77}, 1: {'delay_seconds': 0.29}}",0.0
"{4: {'depth': 0.32}, 3: {'gain_db': -23.2}, 0: {'rate_hz': 27.09}, 5: {'wet_level': 0.38}}","{2: {'drive_db': 43.52}, 0: {'rate_hz': 34.87}, 4: {'depth': 0.08}, 5: {'wet_level': 0.96}, 1: {'delay_seconds': 6.02}, 3: {'gain_db': -2.5}}",0.3870135280665492
"{3: {'gain_db': 38.42}, 5: {'wet_level': 0.87}, 2: {'drive_db': 3.41}, 1: {'delay_seconds': 7.05}, 4: {'depth': 0.13}, 0: {'rate_hz': 37.82}}","{0: {'rate_hz': 93.92}, 3: {'gain_db': 6.68}, 1: {'delay_seconds': 1.72}}",0.16379728481948114
