audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{4: {'depth': 0.32}, 5: {'wet_level': 0.49}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': 2.59}}",0.6959459459459459,0.9906481414273426,"[{4: {'depth': 0.41}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.52}, 2: {'drive_db': 11.13}}, {4: {'depth': 0.37}, 5: {'wet_level': 0.34}, 1: {'delay_seconds': 3.52}, 2: {'drive_db': 9.47}}, {4: {'depth': 0.37}, 5: {'wet_level': 0.34}, 1: {'delay_seconds': 3.52}, 2: {'drive_db': 9.47}}, {4: {'depth': 0.36}, 1: {'delay_seconds': 3.52}, 3: {'gain_db': 3.64}, 5: {'wet_level': 0.43}, 2: {'drive_db': 13.12}}, {4: {'depth': 0.36}, 1: {'delay_seconds': 3.52}, 3: {'gain_db': 3.64}, 5: {'wet_level': 0.43}, 2: {'drive_db': 13.12}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.43}, 1: {'delay_seconds': 3.52}, 3: {'gain_db': 2.44}, 2: {'drive_db': 8.13}}, {4: {'depth': 0.33}, 1: {'delay_seconds': 3.52}, 5: {'wet_level': 0.58}, 2: {'drive_db': 9.47}}, {4: {'depth': 0.29}, 5: {'wet_level': 0.34}, 1: {'delay_seconds': 3.48}}, {4: {'depth': 0.36}, 1: {'delay_seconds': 3.48}, 5: {'wet_level': 0.58}, 3: {'gain_db': 7.48}}, {4: {'depth': 0.36}, 1: {'delay_seconds': 3.48}, 5: {'wet_level': 0.58}, 3: {'gain_db': 7.48}}, {4: {'depth': 0.32}, 5: {'wet_level': 0.43}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': -2.79}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.5}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': -2.79}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.5}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': -2.79}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.5}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': -2.79}}, {4: {'depth': 0.32}, 5: {'wet_level': 0.49}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': 2.59}}]","[0.9739861382982565, 0.977624956915158, 0.977624956915158, 0.9798507010809606, 0.9798507010809606, 0.9820552908605276, 0.9821741921971102, 0.9842963991788334, 0.9872551183672773, 0.9872551183672773, 0.9897951791340986, 0.9905120427702502, 0.9905120427702502, 0.9905120427702502, 0.9906481414273426]","[0.8309722694735684, 0.742228204219436, 0.742228204219436, 0.5951370818441614, 0.5951370818441614, 0.690987726352524, 0.9265911385823704, 0.5678088803088803, 0.7075289575289575, 0.7075289575289575, 0.6554054054054055, 0.6937741312741313, 0.6937741312741313, 0.6937741312741313, 0.6959459459459459]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 3: {'gain_db': -8.76}, 0: {'rate_hz': 9.17}}",0.5865964128563497,0.9630128549143828,"[{5: {'wet_level': 0.28}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.92}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.92}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.92}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 3: {'gain_db': -7.28}, 0: {'rate_hz': 9.89}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 3: {'gain_db': -7.28}, 0: {'rate_hz': 9.89}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 3: {'gain_db': -7.28}, 0: {'rate_hz': 9.89}}, {5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 2: {'drive_db': 16.81}, 3: {'gain_db': -2.33}, 0: {'rate_hz': 9.17}}, {5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 3: {'gain_db': -8.76}, 0: {'rate_hz': 9.17}}, {5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 3: {'gain_db': -8.76}, 0: {'rate_hz': 9.17}}, {5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 3: {'gain_db': -8.76}, 0: {'rate_hz': 9.17}}]","[0.9620240516760478, 0.9620240516760478, 0.9620240516760478, 0.9623607862059176, 0.9623607862059176, 0.9623607862059176, 0.9623607862059176, 0.9623607862059176, 0.9628710765146283, 0.9628710765146283, 0.9628710765146283, 0.9629785737347976, 0.9630128549143828, 0.9630128549143828, 0.9630128549143828]","[0.6180707662859838, 0.6180707662859838, 0.6180707662859838, 0.6538267562522496, 0.6538267562522496, 0.6538267562522496, 0.6538267562522496, 0.6538267562522496, 0.6528752814663314, 0.6528752814663314, 0.6528752814663314, 0.598557952202888, 0.5865964128563497, 0.5865964128563497, 0.5865964128563497]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 15.0}, 4: {'depth': 0.35}}",0.9784533999048978,0.9763754173052972,"[{0: {'rate_hz': 17.87}, 4: {'depth': 0.4}}, {4: {'depth': 0.33}, 0: {'rate_hz': 14.26}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.35}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 10.13}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 10.13}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 10.13}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 13.24}, 3: {'gain_db': 0.62}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 13.24}, 3: {'gain_db': 0.62}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 13.24}, 3: {'gain_db': 0.62}}, {0: {'rate_hz': 15.37}, 4: {'depth': 0.36}, 3: {'gain_db': -7.81}}, {0: {'rate_hz': 15.37}, 4: {'depth': 0.36}, 3: {'gain_db': -7.81}}, {0: {'rate_hz': 15.37}, 4: {'depth': 0.36}, 3: {'gain_db': -7.81}}, {0: {'rate_hz': 15.0}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.0}, 4: {'depth': 0.35}}]","[0.9594283885480032, 0.9640051708374263, 0.9691844344931118, 0.9696077459755137, 0.9696633033417652, 0.9696633033417652, 0.9696633033417652, 0.9697054673971357, 0.9697054673971357, 0.9697054673971357, 0.9701971802017157, 0.9701971802017157, 0.9701971802017157, 0.9763754173052972, 0.9763754173052972]","[0.815026153114598, 0.9103958630527818, 0.9716773656680933, 0.9925106990014265, 0.6616737993342843, 0.6616737993342843, 0.6616737993342843, 0.49625534950071326, 0.49625534950071326, 0.49625534950071326, 0.6583452211126961, 0.6583452211126961, 0.6583452211126961, 0.9784533999048978, 0.9784533999048978]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 3.36}, 3: {'gain_db': 0.67}}",0.5859524636796651,0.9500620616784012,"[{1: {'delay_seconds': 2.31}, 2: {'drive_db': 4.72}, 5: {'wet_level': 0.35}}, {5: {'wet_level': 0.36}, 2: {'drive_db': 12.3}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.38}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.43}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 3.43}, 3: {'gain_db': -2.89}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.46}, 2: {'drive_db': 8.06}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.46}, 2: {'drive_db': 8.06}}, {5: {'wet_level': 0.52}, 1: {'delay_seconds': 2.22}, 3: {'gain_db': 2.28}}, {5: {'wet_level': 0.52}, 1: {'delay_seconds': 2.22}, 3: {'gain_db': 2.28}}, {5: {'wet_level': 0.5}, 0: {'rate_hz': 4.05}, 2: {'drive_db': 6.2}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.5}, 0: {'rate_hz': 4.05}, 2: {'drive_db': 6.2}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.5}, 0: {'rate_hz': 4.05}, 2: {'drive_db': 6.2}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 14.66}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 14.66}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 3.36}, 3: {'gain_db': 0.67}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 3.36}, 3: {'gain_db': 0.67}}]","[0.9434382543806751, 0.9471426198548731, 0.9479286297655439, 0.9482219231466011, 0.9482385897878848, 0.9482385897878848, 0.9489780354705866, 0.9489780354705866, 0.9496899078855177, 0.9496899078855177, 0.9496899078855177, 0.9498971091755612, 0.9498971091755612, 0.9500620616784011, 0.9500620616784011]","[0.531908503866126, 0.6870505924300658, 0.4954379562043796, 0.48471233887785176, 0.5384438880570489, 0.5384438880570489, 0.33725945587259454, 0.33725945587259454, 0.7067646242954017, 0.7067646242954017, 0.7067646242954017, 0.9285710803583069, 0.9285710803583069, 0.5859524636796651, 0.5859524636796651]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{4: {'depth': 0.27}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 10.09}, 0: {'rate_hz': 2.55}, 3: {'gain_db': -7.88}, 5: {'wet_level': 0.31}}",0.5761528943467387,0.9759334400825582,"[{4: {'depth': 0.27}, 2: {'drive_db': 15.26}, 5: {'wet_level': 0.54}, 3: {'gain_db': 4.37}, 1: {'delay_seconds': 4.06}}, {4: {'depth': 0.27}, 2: {'drive_db': 15.43}, 5: {'wet_level': 0.54}, 3: {'gain_db': 4.37}, 1: {'delay_seconds': 4.02}}, {4: {'depth': 0.27}, 5: {'wet_level': 0.54}, 3: {'gain_db': -3.76}, 1: {'delay_seconds': 4.02}}, {4: {'depth': 0.27}, 5: {'wet_level': 0.54}, 3: {'gain_db': -3.76}, 1: {'delay_seconds': 4.02}}, {4: {'depth': 0.27}, 5: {'wet_level': 0.54}, 3: {'gain_db': -3.76}, 1: {'delay_seconds': 4.02}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 8.61}, 3: {'gain_db': 7.68}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 8.61}, 3: {'gain_db': 7.68}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 4.0}}, {4: {'depth': 0.22}, 5: {'wet_level': 0.21}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': -7.88}, 0: {'rate_hz': 2.55}}, {4: {'depth': 0.22}, 5: {'wet_level': 0.21}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': -7.88}, 0: {'rate_hz': 2.55}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.43}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': -7.88}, 0: {'rate_hz': 2.55}}, {4: {'depth': 0.22}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': 8.42}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.21}}, {4: {'depth': 0.22}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': 8.42}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.21}}, {4: {'depth': 0.27}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 10.09}, 0: {'rate_hz': 2.55}, 3: {'gain_db': -7.88}, 5: {'wet_level': 0.31}}, {4: {'depth': 0.27}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 10.09}, 0: {'rate_hz': 2.55}, 3: {'gain_db': -7.88}, 5: {'wet_level': 0.31}}]","[0.9483580752554416, 0.9517287011599981, 0.9518052259087405, 0.9518052259087405, 0.9518052259087405, 0.9530935274460858, 0.9530935274460858, 0.9531481384568354, 0.9563834531743355, 0.9563834531743355, 0.9627284343660774, 0.968442453811699, 0.968442453811699, 0.9759334400825582, 0.9759334400825582]","[0.7642002630934637, 0.7668758483777445, 0.6899166007288418, 0.6899166007288418, 0.6899166007288418, 0.6986857044534089, 0.6986857044534089, 0.5758016919142239, 0.6149128849807922, 0.6149128849807922, 0.7678540614513805, 0.6929693113130807, 0.6929693113130807, 0.5761528943467387, 0.5761528943467387]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}",{0: {'rate_hz': 6.09}},0.3333333333333333,0.9882551949626608,"[{3: {'gain_db': 8.35}, 0: {'rate_hz': 5.08}}, {0: {'rate_hz': 5.7}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 6.09}}, {0: {'rate_hz': 6.09}}, {0: {'rate_hz': 6.09}}, {0: {'rate_hz': 6.09}}]","[0.9536155688854038, 0.9553039922542874, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9882551949626608, 0.9882551949626608, 0.9882551949626608, 0.9882551949626608]","[0.3499615995713242, 0.32398753894080995, 0.3302180685358255, 0.3302180685358255, 0.3302180685358255, 0.3302180685358255, 0.3302180685358255, 0.3302180685358255, 0.3302180685358255, 0.3302180685358255, 0.3302180685358255, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.9}, 2: {'drive_db': 15.14}, 5: {'wet_level': 0.26}}",0.78791868141561,0.9540508191531704,"[{0: {'rate_hz': 9.47}, 2: {'drive_db': 3.45}, 3: {'gain_db': -5.8}, 1: {'delay_seconds': 1.23}, 4: {'depth': 0.25}, 5: {'wet_level': 0.44}}, {2: {'drive_db': 3.98}, 1: {'delay_seconds': 1.42}, 3: {'gain_db': 2.45}, 4: {'depth': 0.39}, 0: {'rate_hz': 8.97}}, {2: {'drive_db': 3.98}, 1: {'delay_seconds': 1.42}, 3: {'gain_db': 4.06}, 4: {'depth': 0.39}, 0: {'rate_hz': 8.97}, 5: {'wet_level': 0.41}}, {2: {'drive_db': 3.98}, 1: {'delay_seconds': 1.42}, 3: {'gain_db': 4.06}, 4: {'depth': 0.39}, 0: {'rate_hz': 8.97}, 5: {'wet_level': 0.41}}, {2: {'drive_db': 3.98}, 1: {'delay_seconds': 1.42}, 3: {'gain_db': 4.06}, 4: {'depth': 0.39}, 0: {'rate_hz': 8.97}, 5: {'wet_level': 0.41}}, {1: {'delay_seconds': 1.26}, 4: {'depth': 0.37}, 0: {'rate_hz': 7.74}, 5: {'wet_level': 0.57}}, {1: {'delay_seconds': 1.24}, 4: {'depth': 0.38}, 0: {'rate_hz': 9.22}, 5: {'wet_level': 0.57}, 3: {'gain_db': 6.02}}, {1: {'delay_seconds': 1.26}, 4: {'depth': 0.37}, 0: {'rate_hz': 9.22}, 5: {'wet_level': 0.42}, 2: {'drive_db': 19.82}, 3: {'gain_db': 8.28}}, {1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.32}, 2: {'drive_db': 8.27}, 3: {'gain_db': -7.1}, 5: {'wet_level': 0.26}}, {1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 9.22}, 2: {'drive_db': 8.27}, 5: {'wet_level': 0.26}, 3: {'gain_db': 5.17}}, {1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 9.22}, 2: {'drive_db': 8.27}, 5: {'wet_level': 0.26}, 3: {'gain_db': 5.17}}, {1: {'delay_seconds': 1.31}, 2: {'drive_db': 14.84}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.45}, 5: {'wet_level': 0.24}, 3: {'gain_db': 0.36}}, {1: {'delay_seconds': 1.31}, 2: {'drive_db': 14.84}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.45}, 5: {'wet_level': 0.24}, 3: {'gain_db': 0.36}}, {0: {'rate_hz': 8.9}, 1: {'delay_seconds': 1.26}, 4: {'depth': 0.38}, 5: {'wet_level': 0.28}, 3: {'gain_db': -5.09}}, {1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.9}, 2: {'drive_db': 15.14}, 5: {'wet_level': 0.26}}]","[0.9291071674451341, 0.9351247336866916, 0.942269410884084, 0.942269410884084, 0.942269410884084, 0.9425152941948092, 0.9449766828784988, 0.9466967572869638, 0.9510484839958605, 0.9514876309589356, 0.9514876309589356, 0.9518487232443207, 0.9518487232443207, 0.9519029579911977, 0.9540508191531704]","[0.5234368129009164, 0.6483848825087829, 0.7169719696766784, 0.7169719696766784, 0.7169719696766784, 0.46449448721590164, 0.5691821655606153, 0.7588313190171254, 0.7632446384423517, 0.8210366482014245, 0.8210366482014245, 0.9304688039324379, 0.9304688039324379, 0.7028153244627163, 0.78791868141561]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}",{5: {'wet_level': 0.51}},0.2279411764705882,0.961285691582368,"[{5: {'wet_level': 0.52}}, {5: {'wet_level': 0.47}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}]","[0.961263666933236, 0.9612802527684893, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681]","[0.23529411764705882, 0.19852941176470584, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882, 0.2279411764705882]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}",0.6290857876641399,0.9692876234116072,"[{4: {'depth': 0.24}, 2: {'drive_db': 1.46}, 5: {'wet_level': 0.42}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.21}, 0: {'rate_hz': 2.31}, 2: {'drive_db': 10.34}, 3: {'gain_db': -0.24}, 5: {'wet_level': 0.47}}, {4: {'depth': 0.21}, 0: {'rate_hz': 2.31}, 2: {'drive_db': 10.34}, 3: {'gain_db': -0.24}, 5: {'wet_level': 0.47}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}]","[0.9648365906657134, 0.9664448080828044, 0.9664448080828044, 0.9664448080828044, 0.9664448080828044, 0.9664448080828044, 0.9692771182499026, 0.9692771182499026, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073]","[0.4, 0.45833333333333337, 0.45833333333333337, 0.45833333333333337, 0.45833333333333337, 0.45833333333333337, 0.626078225609728, 0.626078225609728, 0.6290857876641399, 0.6290857876641399, 0.6290857876641399, 0.6290857876641399, 0.6290857876641399, 0.6290857876641399, 0.6290857876641399]"
9.mp3,{3: {'gain_db': 8.18}},{3: {'gain_db': 4.77}},0.8124312431243124,0.993262157472075,"[{3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}]","[0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075]","[0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124, 0.8124312431243124]"
