audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{4: {'depth': 0.29}, 1: {'delay_seconds': 3.44}, 5: {'wet_level': 0.54}}",0.6989117573794994,0.9852150058335962,"[{3: {'gain_db': -2.98}, 1: {'delay_seconds': 3.45}, 5: {'wet_level': 0.59}}, {3: {'gain_db': -2.98}, 1: {'delay_seconds': 3.45}, 5: {'wet_level': 0.59}}, {3: {'gain_db': -2.98}, 1: {'delay_seconds': 3.45}, 5: {'wet_level': 0.59}}, {3: {'gain_db': -2.98}, 1: {'delay_seconds': 3.45}, 5: {'wet_level': 0.59}}, {4: {'depth': 0.25}, 5: {'wet_level': 0.36}, 2: {'drive_db': 17.02}, 1: {'delay_seconds': 3.45}}, {4: {'depth': 0.25}, 5: {'wet_level': 0.36}, 2: {'drive_db': 17.02}, 1: {'delay_seconds': 3.45}}, {4: {'depth': 0.25}, 5: {'wet_level': 0.36}, 2: {'drive_db': 17.02}, 1: {'delay_seconds': 3.45}}, {4: {'depth': 0.25}, 5: {'wet_level': 0.36}, 2: {'drive_db': 17.02}, 1: {'delay_seconds': 3.45}}, {4: {'depth': 0.25}, 5: {'wet_level': 0.36}, 2: {'drive_db': 17.02}, 1: {'delay_seconds': 3.45}}, {4: {'depth': 0.29}, 3: {'gain_db': -2.98}, 1: {'delay_seconds': 3.44}, 5: {'wet_level': 0.51}}, {4: {'depth': 0.29}, 1: {'delay_seconds': 3.44}, 5: {'wet_level': 0.54}}, {4: {'depth': 0.29}, 1: {'delay_seconds': 3.44}, 5: {'wet_level': 0.54}}, {4: {'depth': 0.29}, 1: {'delay_seconds': 3.44}, 5: {'wet_level': 0.54}}, {4: {'depth': 0.29}, 1: {'delay_seconds': 3.44}, 5: {'wet_level': 0.54}}, {4: {'depth': 0.29}, 1: {'delay_seconds': 3.44}, 5: {'wet_level': 0.54}}]","[0.9707242053033439, 0.9707242053033439, 0.9707242053033439, 0.9707242053033439, 0.9781293718199415, 0.9781293718199415, 0.9781293718199415, 0.9781293718199415, 0.9781293718199415, 0.9849150938137425, 0.9852150058335962, 0.9852150058335962, 0.9852150058335962, 0.9852150058335962, 0.9852150058335962]","[0.4834622929380994, 0.4834622929380994, 0.4834622929380994, 0.4834622929380994, 0.5981394701152766, 0.5981394701152766, 0.5981394701152766, 0.5981394701152766, 0.5981394701152766, 0.678641487109229, 0.6989117573794994, 0.6989117573794994, 0.6989117573794994, 0.6989117573794994, 0.6989117573794994]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{5: {'wet_level': 0.31}, 4: {'depth': 0.35}, 0: {'rate_hz': 9.47}, 3: {'gain_db': 3.78}}",0.6215917112873928,0.964668179998908,"[{5: {'wet_level': 0.43}, 0: {'rate_hz': 8.16}, 4: {'depth': 0.34}, 3: {'gain_db': 0.74}}, {3: {'gain_db': -5.88}, 5: {'wet_level': 0.38}, 4: {'depth': 0.3}, 2: {'drive_db': 1.3}, 0: {'rate_hz': 8.12}}, {3: {'gain_db': -5.88}, 5: {'wet_level': 0.38}, 4: {'depth': 0.3}, 2: {'drive_db': 1.3}, 0: {'rate_hz': 8.12}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.3}, 3: {'gain_db': -2.66}, 4: {'depth': 0.3}, 0: {'rate_hz': 9.78}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.35}, 0: {'rate_hz': 9.47}, 3: {'gain_db': 3.78}}]","[0.9551426987385385, 0.959538721467652, 0.959538721467652, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9602342956178781, 0.9646681799989079]","[0.6212227009048776, 0.5726149642639862, 0.5726149642639862, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.64412820076397, 0.6215917112873928]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{3: {'gain_db': -5.77}, 0: {'rate_hz': 15.34}, 4: {'depth': 0.36}}",0.659058487874465,0.971715273671892,"[{0: {'rate_hz': 9.56}, 4: {'depth': 0.38}, 2: {'drive_db': 15.05}, 3: {'gain_db': 7.35}}, {0: {'rate_hz': 15.34}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.34}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.34}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.34}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.34}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.34}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.34}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.34}, 4: {'depth': 0.35}}, {3: {'gain_db': -5.77}, 0: {'rate_hz': 15.34}, 4: {'depth': 0.36}}, {3: {'gain_db': -5.77}, 0: {'rate_hz': 15.34}, 4: {'depth': 0.36}}, {3: {'gain_db': -5.77}, 0: {'rate_hz': 15.34}, 4: {'depth': 0.36}}, {3: {'gain_db': -5.77}, 0: {'rate_hz': 15.34}, 4: {'depth': 0.36}}, {3: {'gain_db': -5.77}, 0: {'rate_hz': 15.34}, 4: {'depth': 0.36}}, {3: {'gain_db': -5.77}, 0: {'rate_hz': 15.34}, 4: {'depth': 0.36}}]","[0.9590150641909578, 0.9713154096555165, 0.9713154096555165, 0.9713154096555165, 0.9713154096555165, 0.9713154096555165, 0.9713154096555165, 0.9713154096555165, 0.9713154096555165, 0.971715273671892, 0.971715273671892, 0.971715273671892, 0.971715273671892, 0.971715273671892, 0.971715273671892]","[0.38180575368521164, 0.9677543984783642, 0.9677543984783642, 0.9677543984783642, 0.9677543984783642, 0.9677543984783642, 0.9677543984783642, 0.9677543984783642, 0.9677543984783642, 0.659058487874465, 0.659058487874465, 0.659058487874465, 0.659058487874465, 0.659058487874465, 0.659058487874465]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{5: {'wet_level': 0.4}, 1: {'delay_seconds': 2.22}}",0.4736230922362309,0.9492322342525652,"[{3: {'gain_db': 2.3}, 2: {'drive_db': 18.97}, 1: {'delay_seconds': 2.3}, 5: {'wet_level': 0.49}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.42}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.42}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.42}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.42}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.42}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.42}}, {1: {'delay_seconds': 2.26}, 3: {'gain_db': 4.59}, 5: {'wet_level': 0.45}}, {1: {'delay_seconds': 2.26}, 3: {'gain_db': 4.59}, 5: {'wet_level': 0.45}}, {5: {'wet_level': 0.6}, 1: {'delay_seconds': 2.22}, 2: {'drive_db': 13.87}}, {1: {'delay_seconds': 2.22}, 5: {'wet_level': 0.56}, 3: {'gain_db': 7.98}}, {1: {'delay_seconds': 2.22}, 5: {'wet_level': 0.56}, 3: {'gain_db': 7.98}}, {1: {'delay_seconds': 2.22}, 3: {'gain_db': 7.98}, 5: {'wet_level': 0.37}, 2: {'drive_db': 1.8}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 2.22}, 3: {'gain_db': 4.59}}, {5: {'wet_level': 0.4}, 1: {'delay_seconds': 2.22}}]","[0.9414982420520007, 0.9482035785795332, 0.9482035785795332, 0.9482035785795332, 0.9482035785795332, 0.9482035785795332, 0.9482035785795332, 0.9483656613195344, 0.9483656613195344, 0.9486198724155134, 0.9486506008709669, 0.9486506008709669, 0.9489460686381548, 0.9492285246674016, 0.9492322342525652]","[0.5304930053276918, 0.44998341074983417, 0.44998341074983417, 0.44998341074983417, 0.44998341074983417, 0.44998341074983417, 0.44998341074983417, 0.4204545454545454, 0.4204545454545454, 0.49047024356744906, 0.29180491041804907, 0.29180491041804907, 0.5001612354283954, 0.4736230922362309, 0.4736230922362309]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{4: {'depth': 0.27}, 1: {'delay_seconds': 4.01}, 3: {'gain_db': 9.77}, 0: {'rate_hz': 2.53}, 5: {'wet_level': 0.32}}",0.753264255199299,0.9581549278852508,"[{1: {'delay_seconds': 3.97}, 2: {'drive_db': 18.86}, 4: {'depth': 0.22}, 5: {'wet_level': 0.21}, 3: {'gain_db': -9.86}}, {1: {'delay_seconds': 3.94}, 2: {'drive_db': 19.11}, 4: {'depth': 0.22}, 5: {'wet_level': 0.49}, 3: {'gain_db': -9.86}}, {4: {'depth': 0.26}, 3: {'gain_db': -4.95}, 5: {'wet_level': 0.55}, 1: {'delay_seconds': 3.95}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.55}, 1: {'delay_seconds': 3.95}, 3: {'gain_db': -6.47}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.55}, 1: {'delay_seconds': 3.95}, 3: {'gain_db': -6.47}}, {2: {'drive_db': 3.52}, 1: {'delay_seconds': 3.95}, 4: {'depth': 0.28}, 3: {'gain_db': -1.34}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.4}}, {2: {'drive_db': 3.52}, 1: {'delay_seconds': 3.95}, 4: {'depth': 0.28}, 3: {'gain_db': -1.34}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.4}}, {2: {'drive_db': 3.52}, 1: {'delay_seconds': 3.95}, 4: {'depth': 0.28}, 3: {'gain_db': -1.34}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.4}}, {2: {'drive_db': 3.52}, 1: {'delay_seconds': 3.95}, 4: {'depth': 0.28}, 3: {'gain_db': -1.34}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.4}}, {2: {'drive_db': 3.52}, 1: {'delay_seconds': 3.95}, 4: {'depth': 0.28}, 3: {'gain_db': -1.34}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.4}}, {2: {'drive_db': 3.52}, 1: {'delay_seconds': 3.95}, 4: {'depth': 0.28}, 3: {'gain_db': -1.34}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.4}}, {4: {'depth': 0.27}, 1: {'delay_seconds': 4.01}, 3: {'gain_db': 9.77}, 0: {'rate_hz': 2.53}, 5: {'wet_level': 0.32}}, {4: {'depth': 0.27}, 1: {'delay_seconds': 4.01}, 3: {'gain_db': 9.77}, 0: {'rate_hz': 2.53}, 5: {'wet_level': 0.32}}, {4: {'depth': 0.27}, 1: {'delay_seconds': 4.01}, 3: {'gain_db': 9.77}, 0: {'rate_hz': 2.53}, 5: {'wet_level': 0.32}}, {4: {'depth': 0.27}, 1: {'delay_seconds': 4.01}, 3: {'gain_db': 9.77}, 0: {'rate_hz': 2.53}, 5: {'wet_level': 0.32}}]","[0.9469962037451178, 0.9518936015412897, 0.952202268454918, 0.9522098254217721, 0.9522098254217721, 0.9549556376529332, 0.9549556376529332, 0.9549556376529332, 0.9549556376529332, 0.9549556376529332, 0.9549556376529332, 0.9581549278852509, 0.9581549278852509, 0.9581549278852509, 0.9581549278852509]","[0.38320950590110125, 0.5459086992908317, 0.6705956667902166, 0.6467712153795583, 0.6467712153795583, 0.6933888782849478, 0.6933888782849478, 0.6933888782849478, 0.6933888782849478, 0.6933888782849478, 0.6933888782849478, 0.753264255199299, 0.753264255199299, 0.753264255199299, 0.753264255199299]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{0: {'rate_hz': 6.08}, 3: {'gain_db': 5.17}}",0.4526185676613418,0.9730070840720496,"[{0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': -1.41}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': 5.17}}, {0: {'rate_hz': 6.08}, 3: {'gain_db': 5.17}}]","[0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.973006934001949, 0.9730070840720496, 0.9730070840720496]","[0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.6154495500914334, 0.4526185676613418, 0.4526185676613418]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{0: {'rate_hz': 9.72}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.42}, 2: {'drive_db': 13.65}, 5: {'wet_level': 0.24}, 3: {'gain_db': 8.77}}",0.8000590339703825,0.949835139153034,"[{1: {'delay_seconds': 1.16}, 0: {'rate_hz': 10.8}, 2: {'drive_db': 4.42}, 3: {'gain_db': 2.7}, 5: {'wet_level': 0.25}, 4: {'depth': 0.42}}, {1: {'delay_seconds': 1.29}, 3: {'gain_db': 4.41}, 2: {'drive_db': 12.2}, 0: {'rate_hz': 9.03}, 4: {'depth': 0.46}, 5: {'wet_level': 0.42}}, {1: {'delay_seconds': 1.33}, 2: {'drive_db': 19.63}, 0: {'rate_hz': 4.91}, 4: {'depth': 0.4}, 3: {'gain_db': 4.46}, 5: {'wet_level': 0.42}}, {1: {'delay_seconds': 1.26}, 3: {'gain_db': 8.62}, 2: {'drive_db': 12.2}, 4: {'depth': 0.46}, 0: {'rate_hz': 11.74}, 5: {'wet_level': 0.24}}, {1: {'delay_seconds': 1.33}, 0: {'rate_hz': 8.76}, 2: {'drive_db': 13.46}, 5: {'wet_level': 0.4}, 4: {'depth': 0.43}}, {1: {'delay_seconds': 1.33}, 0: {'rate_hz': 8.76}, 2: {'drive_db': 13.46}, 5: {'wet_level': 0.4}, 4: {'depth': 0.43}}, {1: {'delay_seconds': 1.33}, 0: {'rate_hz': 8.76}, 2: {'drive_db': 13.46}, 5: {'wet_level': 0.4}, 4: {'depth': 0.43}}, {1: {'delay_seconds': 1.33}, 0: {'rate_hz': 8.76}, 2: {'drive_db': 13.46}, 5: {'wet_level': 0.4}, 4: {'depth': 0.43}}, {1: {'delay_seconds': 1.33}, 0: {'rate_hz': 8.76}, 2: {'drive_db': 13.46}, 5: {'wet_level': 0.4}, 4: {'depth': 0.43}}, {1: {'delay_seconds': 1.26}, 4: {'depth': 0.42}, 0: {'rate_hz': 8.4}, 3: {'gain_db': 9.17}, 5: {'wet_level': 0.37}, 2: {'drive_db': 12.33}}, {3: {'gain_db': 0.09}, 0: {'rate_hz': 9.72}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.42}, 2: {'drive_db': 13.65}, 5: {'wet_level': 0.24}}, {3: {'gain_db': 0.09}, 0: {'rate_hz': 9.72}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.42}, 2: {'drive_db': 13.65}, 5: {'wet_level': 0.24}}, {3: {'gain_db': 0.09}, 0: {'rate_hz': 9.72}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.42}, 2: {'drive_db': 13.65}, 5: {'wet_level': 0.24}}, {0: {'rate_hz': 9.72}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.42}, 2: {'drive_db': 13.65}, 5: {'wet_level': 0.24}, 3: {'gain_db': 8.77}}, {0: {'rate_hz': 9.72}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.42}, 2: {'drive_db': 13.65}, 5: {'wet_level': 0.24}, 3: {'gain_db': 8.77}}]","[0.9292817433987411, 0.9328316835137475, 0.9355813827182682, 0.9371638135726866, 0.9488329605343029, 0.9488329605343029, 0.9488329605343029, 0.9488329605343029, 0.9488329605343029, 0.9490567744237361, 0.949818397938664, 0.949818397938664, 0.949818397938664, 0.9498351391530339, 0.9498351391530339]","[0.7875898131385589, 0.7610543834607587, 0.7952347911589879, 0.7239033855314152, 0.6983576571026153, 0.6983576571026153, 0.6983576571026153, 0.6983576571026153, 0.6983576571026153, 0.7429460036554326, 0.9067988936837097, 0.9067988936837097, 0.9067988936837097, 0.8000590339703825, 0.8000590339703825]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{5: {'wet_level': 0.46}, 2: {'drive_db': 8.46}, 0: {'rate_hz': 2.17}}",0.6591011825605663,0.9730846194936004,"[{5: {'wet_level': 0.49}}, {5: {'wet_level': 0.47}}, {5: {'wet_level': 0.47}}, {5: {'wet_level': 0.47}}, {5: {'wet_level': 0.47}}, {0: {'rate_hz': 2.17}, 3: {'gain_db': -7.33}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 2.17}, 3: {'gain_db': -7.33}, 5: {'wet_level': 0.22}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 2.17}, 3: {'gain_db': -7.33}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 2.17}, 3: {'gain_db': -7.33}}, {5: {'wet_level': 0.46}, 2: {'drive_db': 8.46}, 0: {'rate_hz': 2.17}}, {5: {'wet_level': 0.46}, 2: {'drive_db': 8.46}, 0: {'rate_hz': 2.17}}, {5: {'wet_level': 0.46}, 2: {'drive_db': 8.46}, 0: {'rate_hz': 2.17}}, {5: {'wet_level': 0.46}, 2: {'drive_db': 8.46}, 0: {'rate_hz': 2.17}}, {5: {'wet_level': 0.46}, 2: {'drive_db': 8.46}, 0: {'rate_hz': 2.17}}, {5: {'wet_level': 0.46}, 2: {'drive_db': 8.46}, 0: {'rate_hz': 2.17}}]","[0.9612798937119914, 0.9612802527684893, 0.9612802527684893, 0.9612802527684893, 0.9612802527684893, 0.9628825354831133, 0.9628825354831133, 0.9728828198647439, 0.9728828198647439, 0.9730846194936003, 0.9730846194936003, 0.9730846194936003, 0.9730846194936003, 0.9730846194936003, 0.9730846194936003]","[0.21323529411764702, 0.19852941176470584, 0.19852941176470584, 0.19852941176470584, 0.19852941176470584, 0.3221583429187178, 0.3221583429187178, 0.4765701076246001, 0.4765701076246001, 0.6591011825605663, 0.6591011825605663, 0.6591011825605663, 0.6591011825605663, 0.6591011825605663, 0.6591011825605663]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}",{0: {'rate_hz': 2.45}},0.25,0.9703363319721148,"[{3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {3: {'gain_db': -5.94}, 2: {'drive_db': 18.21}, 0: {'rate_hz': 2.65}, 4: {'depth': 0.23}, 5: {'wet_level': 0.34}}, {0: {'rate_hz': 2.45}}]","[0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9701276556677486, 0.9703363319721148]","[0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.6310882362417096, 0.25]"
9.mp3,{3: {'gain_db': 8.18}},{3: {'gain_db': 9.16}},0.946094609460946,0.9932623146335952,"[{3: {'gain_db': 9.17}}, {3: {'gain_db': 9.17}}, {3: {'gain_db': 9.17}}, {3: {'gain_db': 9.17}}, {3: {'gain_db': 0.87}}, {3: {'gain_db': 0.87}}, {3: {'gain_db': 9.16}}, {3: {'gain_db': 9.16}}, {3: {'gain_db': 9.16}}, {3: {'gain_db': 9.16}}, {3: {'gain_db': 9.16}}, {3: {'gain_db': 9.16}}, {3: {'gain_db': 9.16}}, {3: {'gain_db': 9.16}}, {3: {'gain_db': 9.16}}]","[0.993261967479112, 0.993261967479112, 0.993261967479112, 0.993261967479112, 0.9932622652757046, 0.9932622652757046, 0.9932623146335952, 0.9932623146335952, 0.9932623146335952, 0.9932623146335952, 0.9932623146335952, 0.9932623146335952, 0.9932623146335952, 0.9932623146335952, 0.9932623146335952]","[0.9455445544554455, 0.9455445544554455, 0.9455445544554455, 0.9455445544554455, 0.5979097909790979, 0.5979097909790979, 0.946094609460946, 0.946094609460946, 0.946094609460946, 0.946094609460946, 0.946094609460946, 0.946094609460946, 0.946094609460946, 0.946094609460946, 0.946094609460946]"
