audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{4: {'depth': 0.32}, 5: {'wet_level': 0.6}}",0.4797297297297297,0.9458171268188378,"[{4: {'depth': 0.34}, 5: {'wet_level': 0.55}}, {3: {'gain_db': 9.81}, 4: {'depth': 0.31}, 5: {'wet_level': 0.51}}, {3: {'gain_db': 9.81}, 4: {'depth': 0.31}, 5: {'wet_level': 0.51}}, {3: {'gain_db': 9.81}, 4: {'depth': 0.31}, 5: {'wet_level': 0.51}}, {4: {'depth': 0.31}, 2: {'drive_db': 13.9}, 5: {'wet_level': 0.54}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.6}, 3: {'gain_db': -4.65}, 2: {'drive_db': 4.29}}, {4: {'depth': 0.32}, 2: {'drive_db': 16.77}, 3: {'gain_db': 2.95}, 5: {'wet_level': 0.55}}, {4: {'depth': 0.33}, 5: {'wet_level': 0.57}, 3: {'gain_db': 3.32}}, {4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 3: {'gain_db': 3.32}}, {4: {'depth': 0.32}, 5: {'wet_level': 0.58}}, {4: {'depth': 0.32}, 3: {'gain_db': 2.97}, 5: {'wet_level': 0.58}}, {4: {'depth': 0.32}, 3: {'gain_db': 2.97}, 5: {'wet_level': 0.58}}, {4: {'depth': 0.32}, 3: {'gain_db': 2.97}, 5: {'wet_level': 0.58}}, {4: {'depth': 0.32}, 3: {'gain_db': 2.97}, 5: {'wet_level': 0.58}}, {4: {'depth': 0.32}, 5: {'wet_level': 0.6}}]","[0.9453839207684865, 0.9454396309644572, 0.9454396309644572, 0.9454396309644572, 0.9455373286640161, 0.9456315827860174, 0.9456700646241158, 0.9457149436073858, 0.9457843996495953, 0.9458054162928532, 0.9458059872023156, 0.9458059872023156, 0.9458059872023156, 0.9458059872023156, 0.9458171268188378]","[0.46862934362934366, 0.45053088803088803, 0.45053088803088803, 0.45053088803088803, 0.5845222619551479, 0.6779227093824409, 0.5467027430114679, 0.4910714285714286, 0.5, 0.4932432432432432, 0.4932432432432432, 0.4932432432432432, 0.4932432432432432, 0.4932432432432432, 0.4797297297297297]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}",0.34001307231487404,0.9189637406539944,"[{2: {'drive_db': 14.67}, 5: {'wet_level': 0.49}, 4: {'depth': 0.34}, 0: {'rate_hz': 1.49}, 3: {'gain_db': 7.97}}, {2: {'drive_db': 14.67}, 5: {'wet_level': 0.49}, 4: {'depth': 0.34}, 0: {'rate_hz': 1.49}, 3: {'gain_db': 7.97}}, {2: {'drive_db': 14.67}, 5: {'wet_level': 0.49}, 4: {'depth': 0.34}, 0: {'rate_hz': 1.49}, 3: {'gain_db': 7.97}}, {2: {'drive_db': 14.67}, 5: {'wet_level': 0.49}, 4: {'depth': 0.34}, 0: {'rate_hz': 1.49}, 3: {'gain_db': 7.97}}, {2: {'drive_db': 14.67}, 5: {'wet_level': 0.49}, 4: {'depth': 0.34}, 0: {'rate_hz': 1.49}, 3: {'gain_db': 7.97}}, {2: {'drive_db': 14.67}, 5: {'wet_level': 0.49}, 4: {'depth': 0.34}, 0: {'rate_hz': 1.49}, 3: {'gain_db': 7.97}}, {2: {'drive_db': 14.67}, 5: {'wet_level': 0.49}, 4: {'depth': 0.34}, 0: {'rate_hz': 1.49}, 3: {'gain_db': 7.97}}, {5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.57}, 4: {'depth': 0.28}, 3: {'gain_db': 7.97}, 0: {'rate_hz': 1.67}}]","[0.9170935084942621, 0.9170935084942621, 0.9170935084942621, 0.9170935084942621, 0.9170935084942621, 0.9170935084942621, 0.9170935084942621, 0.9189637406539944, 0.9189637406539944, 0.9189637406539944, 0.9189637406539944, 0.9189637406539944, 0.9189637406539944, 0.9189637406539944, 0.9189637406539944]","[0.4814306272712098, 0.4814306272712098, 0.4814306272712098, 0.4814306272712098, 0.4814306272712098, 0.4814306272712098, 0.4814306272712098, 0.34001307231487404, 0.34001307231487404, 0.34001307231487404, 0.34001307231487404, 0.34001307231487404, 0.34001307231487404, 0.34001307231487404, 0.34001307231487404]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 13.21}, 4: {'depth': 0.36}}",0.9354493580599145,0.926499645091441,"[{4: {'depth': 0.33}, 3: {'gain_db': 4.05}, 0: {'rate_hz': 10.74}}, {4: {'depth': 0.33}, 3: {'gain_db': 4.05}, 0: {'rate_hz': 10.74}}, {4: {'depth': 0.34}, 0: {'rate_hz': 7.53}, 2: {'drive_db': 15.56}}, {4: {'depth': 0.34}, 0: {'rate_hz': 10.21}, 3: {'gain_db': 9.35}}, {4: {'depth': 0.34}, 0: {'rate_hz': 10.21}, 3: {'gain_db': 9.35}}, {0: {'rate_hz': 8.87}, 4: {'depth': 0.34}, 2: {'drive_db': 9.06}}, {0: {'rate_hz': 8.87}, 4: {'depth': 0.34}, 2: {'drive_db': 9.06}}, {0: {'rate_hz': 8.87}, 4: {'depth': 0.34}, 2: {'drive_db': 9.06}}, {0: {'rate_hz': 13.21}, 4: {'depth': 0.36}}, {0: {'rate_hz': 13.21}, 4: {'depth': 0.36}}, {0: {'rate_hz': 13.21}, 4: {'depth': 0.36}}, {0: {'rate_hz': 13.21}, 4: {'depth': 0.36}}, {0: {'rate_hz': 13.21}, 4: {'depth': 0.36}}, {0: {'rate_hz': 13.21}, 4: {'depth': 0.36}}, {0: {'rate_hz': 13.21}, 4: {'depth': 0.36}}]","[0.9221825965056246, 0.9221825965056246, 0.9233037223163074, 0.9242202266666503, 0.9242202266666503, 0.9254195056574054, 0.9254195056574054, 0.9254195056574054, 0.926499645091441, 0.926499645091441, 0.926499645091441, 0.926499645091441, 0.926499645091441, 0.926499645091441, 0.926499645091441]","[0.5232406086543034, 0.5232406086543034, 0.4608099540339198, 0.5245284514186084, 0.5245284514186084, 0.4926692027262641, 0.4926692027262641, 0.4926692027262641, 0.9354493580599145, 0.9354493580599145, 0.9354493580599145, 0.9354493580599145, 0.9354493580599145, 0.9354493580599145, 0.9354493580599145]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{0: {'rate_hz': 2.4}, 5: {'wet_level': 0.47}, 3: {'gain_db': 1.27}}",0.37082355970021175,0.9134006891667455,"[{4: {'depth': 0.27}, 5: {'wet_level': 0.47}, 3: {'gain_db': -8.02}, 0: {'rate_hz': 1.78}}, {4: {'depth': 0.59}, 5: {'wet_level': 0.36}, 3: {'gain_db': -5.29}, 0: {'rate_hz': 4.12}}, {4: {'depth': 0.59}, 5: {'wet_level': 0.36}, 3: {'gain_db': -5.29}, 0: {'rate_hz': 4.12}}, {5: {'wet_level': 0.58}, 0: {'rate_hz': 2.16}}, {2: {'drive_db': 5.73}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.39}}, {2: {'drive_db': 5.73}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.39}}, {2: {'drive_db': 5.73}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.39}}, {0: {'rate_hz': 1.78}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 1.78}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 1.78}, 5: {'wet_level': 0.57}}, {0: {'rate_hz': 2.4}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 2.4}, 5: {'wet_level': 0.46}}, {0: {'rate_hz': 2.4}, 5: {'wet_level': 0.47}, 2: {'drive_db': 3.95}}, {0: {'rate_hz': 2.4}, 5: {'wet_level': 0.47}, 2: {'drive_db': 3.95}}, {0: {'rate_hz': 2.4}, 5: {'wet_level': 0.47}, 3: {'gain_db': 1.27}}]","[0.9093458942126459, 0.9102729984484108, 0.9102729984484108, 0.9106074861226322, 0.9126653721690466, 0.9126653721690466, 0.9126653721690466, 0.9130042987592225, 0.9130042987592225, 0.9132345194468922, 0.9133243189052004, 0.9133243189052004, 0.9133644451356359, 0.9133644451356359, 0.9134006891667457]","[0.36106899708221296, 0.4771153956175982, 0.4771153956175982, 0.24204759997711542, 0.5416973596149761, 0.5416973596149761, 0.5416973596149761, 0.37243263344584926, 0.37243263344584926, 0.24743263344584931, 0.382187196063848, 0.382187196063848, 0.426779553630409, 0.426779553630409, 0.37082355970021175]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{5: {'wet_level': 0.34}, 2: {'drive_db': 17.06}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.3}}",0.3571387600409378,0.9246723380454052,"[{5: {'wet_level': 0.34}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.34}, 3: {'gain_db': -9.14}, 2: {'drive_db': 18.74}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.34}, 3: {'gain_db': -9.14}, 2: {'drive_db': 18.74}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.34}, 3: {'gain_db': -9.14}, 2: {'drive_db': 18.74}, 0: {'rate_hz': 1.67}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.38}, 2: {'drive_db': 15.5}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.28}}, {5: {'wet_level': 0.34}, 2: {'drive_db': 17.06}, 0: {'rate_hz': 1.28}, 3: {'gain_db': -4.3}}]","[0.924453146587484, 0.9244988515480663, 0.9244988515480663, 0.9244988515480663, 0.9246336243410161, 0.9246336243410161, 0.9246336243410161, 0.9246336243410161, 0.9246336243410161, 0.9246336243410161, 0.9246336243410161, 0.9246336243410161, 0.9246336243410161, 0.9246336243410161, 0.9246723380454052]","[0.2722669812910838, 0.2857466051155352, 0.2857466051155352, 0.2857466051155352, 0.38098165142946816, 0.38098165142946816, 0.38098165142946816, 0.38098165142946816, 0.38098165142946816, 0.38098165142946816, 0.38098165142946816, 0.38098165142946816, 0.38098165142946816, 0.38098165142946816, 0.3571387600409378]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}",0.4103388684389038,0.9175240209343464,"[{3: {'gain_db': -6.81}, 2: {'drive_db': 19.69}, 0: {'rate_hz': 2.37}, 4: {'depth': 0.22}, 5: {'wet_level': 0.42}}, {3: {'gain_db': -6.81}, 2: {'drive_db': 19.69}, 0: {'rate_hz': 2.37}, 4: {'depth': 0.22}, 5: {'wet_level': 0.42}}, {3: {'gain_db': -6.81}, 4: {'depth': 0.25}, 5: {'wet_level': 0.42}, 0: {'rate_hz': 2.01}, 2: {'drive_db': 19.78}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.46}, 0: {'rate_hz': 2.01}, 2: {'drive_db': 9.5}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.46}, 0: {'rate_hz': 2.01}, 2: {'drive_db': 9.5}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}, {3: {'gain_db': -2.59}, 4: {'depth': 0.22}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 2.01}}]","[0.9167489692834216, 0.9167489692834216, 0.9172592571236806, 0.9175163077120764, 0.9175163077120764, 0.9175240209343463, 0.9175240209343463, 0.9175240209343463, 0.9175240209343463, 0.9175240209343463, 0.9175240209343463, 0.9175240209343463, 0.9175240209343463, 0.9175240209343463, 0.9175240209343463]","[0.30086312759032086, 0.30086312759032086, 0.29454268507616554, 0.46177395552671113, 0.46177395552671113, 0.4103388684389038, 0.4103388684389038, 0.4103388684389038, 0.4103388684389038, 0.4103388684389038, 0.4103388684389038, 0.4103388684389038, 0.4103388684389038, 0.4103388684389038, 0.4103388684389038]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{0: {'rate_hz': 9.04}, 5: {'wet_level': 0.44}, 4: {'depth': 0.45}}",0.3760115503607201,0.8979978719261048,"[{0: {'rate_hz': 6.03}, 5: {'wet_level': 0.37}, 2: {'drive_db': 4.84}, 4: {'depth': 0.43}}, {0: {'rate_hz': 6.03}, 5: {'wet_level': 0.37}, 2: {'drive_db': 4.84}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.46}, 4: {'depth': 0.45}, 3: {'gain_db': 7.71}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.46}, 4: {'depth': 0.45}, 3: {'gain_db': 7.71}, 2: {'drive_db': 2.02}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 8.57}, 5: {'wet_level': 0.37}, 4: {'depth': 0.43}}, {0: {'rate_hz': 9.04}, 5: {'wet_level': 0.44}, 4: {'depth': 0.45}}, {0: {'rate_hz': 9.04}, 5: {'wet_level': 0.44}, 4: {'depth': 0.45}}]","[0.8961948678567516, 0.8961948678567516, 0.897183604299489, 0.8972534257636796, 0.8979250073060424, 0.8979250073060424, 0.8979250073060424, 0.8979250073060424, 0.8979250073060424, 0.8979250073060424, 0.8979250073060424, 0.8979250073060424, 0.8979250073060424, 0.8979978719261048, 0.8979978719261048]","[0.4253948715134614, 0.4253948715134614, 0.4305280009925305, 0.44005181051634007, 0.42723717566575453, 0.42723717566575453, 0.42723717566575453, 0.42723717566575453, 0.42723717566575453, 0.42723717566575453, 0.42723717566575453, 0.42723717566575453, 0.42723717566575453, 0.3760115503607201, 0.3760115503607201]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{4: {'depth': 0.27}, 0: {'rate_hz': 2.3}, 5: {'wet_level': 0.6}}",0.45419885125767484,0.9172766274413132,"[{2: {'drive_db': 1.36}, 4: {'depth': 0.37}, 0: {'rate_hz': 2.08}}, {2: {'drive_db': 1.36}, 4: {'depth': 0.37}, 0: {'rate_hz': 2.08}}, {2: {'drive_db': 1.36}, 4: {'depth': 0.37}, 0: {'rate_hz': 2.08}}, {2: {'drive_db': 19.2}, 4: {'depth': 0.37}, 0: {'rate_hz': 2.08}}, {4: {'depth': 0.32}, 0: {'rate_hz': 2.08}}, {4: {'depth': 0.31}, 0: {'rate_hz': 2.3}, 3: {'gain_db': 2.51}, 2: {'drive_db': 12.17}, 5: {'wet_level': 0.6}}, {4: {'depth': 0.31}, 0: {'rate_hz': 2.3}, 3: {'gain_db': 2.51}, 2: {'drive_db': 12.17}, 5: {'wet_level': 0.6}}, {4: {'depth': 0.31}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 7.46}, 5: {'wet_level': 0.6}, 3: {'gain_db': 9.1}}, {4: {'depth': 0.31}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 7.46}, 5: {'wet_level': 0.6}, 3: {'gain_db': 9.1}}, {4: {'depth': 0.31}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 7.46}, 5: {'wet_level': 0.6}, 3: {'gain_db': 9.1}}, {4: {'depth': 0.27}, 0: {'rate_hz': 2.3}, 3: {'gain_db': -2.96}, 5: {'wet_level': 0.5}}, {4: {'depth': 0.27}, 0: {'rate_hz': 2.3}, 5: {'wet_level': 0.6}}, {4: {'depth': 0.27}, 0: {'rate_hz': 2.3}, 5: {'wet_level': 0.6}}, {4: {'depth': 0.27}, 0: {'rate_hz': 2.3}, 5: {'wet_level': 0.6}}, {4: {'depth': 0.27}, 0: {'rate_hz': 2.3}, 5: {'wet_level': 0.6}}]","[0.9148353560136391, 0.9148353560136391, 0.9148353560136391, 0.9149401084966221, 0.9154553881315006, 0.9157694069142969, 0.9157694069142969, 0.915778308235005, 0.915778308235005, 0.915778308235005, 0.9167504627102687, 0.9172766274413132, 0.9172766274413132, 0.9172766274413132, 0.9172766274413132]","[0.39636730112920593, 0.39636730112920593, 0.39636730112920593, 0.2637142399047161, 0.24859708193041527, 0.665850672983742, 0.665850672983742, 0.6233337640055979, 0.6233337640055979, 0.6233337640055979, 0.6207597810653183, 0.45419885125767484, 0.45419885125767484, 0.45419885125767484, 0.45419885125767484]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{4: {'depth': 0.24}, 3: {'gain_db': -6.25}, 0: {'rate_hz': 2.46}, 5: {'wet_level': 0.26}}",0.792251195522601,0.936933730354824,"[{5: {'wet_level': 0.49}, 3: {'gain_db': -5.26}, 4: {'depth': 0.35}, 0: {'rate_hz': 1.31}}, {4: {'depth': 0.26}, 0: {'rate_hz': 2.01}}, {4: {'depth': 0.22}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 1.82}}, {4: {'depth': 0.22}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 1.82}, 3: {'gain_db': 0.24}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.23}, 0: {'rate_hz': 1.82}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.24}, 2: {'drive_db': 1.79}, 0: {'rate_hz': 2.46}, 5: {'wet_level': 0.26}}, {4: {'depth': 0.24}, 3: {'gain_db': -6.25}, 0: {'rate_hz': 2.46}, 5: {'wet_level': 0.26}}]","[0.9308707473318626, 0.9348704173970895, 0.9353439269412196, 0.9353467670155878, 0.9366681220373035, 0.9366681220373035, 0.9366681220373035, 0.9366681220373035, 0.9366681220373035, 0.9366681220373035, 0.9366681220373035, 0.9366681220373035, 0.9366681220373035, 0.9369149595029465, 0.936933730354824]","[0.5947573629924195, 0.47984330484330484, 0.6688034188034188, 0.8755885561216741, 0.6757478632478633, 0.6757478632478633, 0.6757478632478633, 0.6757478632478633, 0.6757478632478633, 0.6757478632478633, 0.6757478632478633, 0.6757478632478633, 0.6757478632478633, 0.7165242165242165, 0.792251195522601]"
9.mp3,{3: {'gain_db': 8.18}},"{4: {'depth': 0.29}, 0: {'rate_hz': 1.11}}",0.0,0.9354437905547476,"[{4: {'depth': 0.21}, 2: {'drive_db': 2.69}, 3: {'gain_db': 9.71}, 5: {'wet_level': 0.48}}, {4: {'depth': 0.21}, 3: {'gain_db': 9.71}, 5: {'wet_level': 0.48}}, {4: {'depth': 0.21}, 3: {'gain_db': 9.71}, 5: {'wet_level': 0.48}}, {4: {'depth': 0.21}, 3: {'gain_db': 9.71}, 5: {'wet_level': 0.48}}, {4: {'depth': 0.21}, 3: {'gain_db': 9.71}, 5: {'wet_level': 0.48}}, {4: {'depth': 0.21}, 3: {'gain_db': 9.71}, 5: {'wet_level': 0.48}}, {4: {'depth': 0.2}, 5: {'wet_level': 0.4}}, {4: {'depth': 0.2}, 5: {'wet_level': 0.4}}, {4: {'depth': 0.2}, 5: {'wet_level': 0.4}}, {4: {'depth': 0.2}, 5: {'wet_level': 0.4}}, {4: {'depth': 0.28}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 1.42}, 3: {'gain_db': -5.95}}, {4: {'depth': 0.28}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 1.42}, 3: {'gain_db': -5.95}}, {4: {'depth': 0.29}, 0: {'rate_hz': 1.11}}, {4: {'depth': 0.29}, 0: {'rate_hz': 1.11}}, {4: {'depth': 0.29}, 0: {'rate_hz': 1.11}}]","[0.9328880907271889, 0.9328896262341291, 0.9328896262341291, 0.9328896262341291, 0.9328896262341291, 0.9328896262341291, 0.9333056544574589, 0.9333056544574589, 0.9333056544574589, 0.9333056544574589, 0.9347217145567749, 0.9347217145567749, 0.9354437905547476, 0.9354437905547476, 0.9354437905547476]","[0.22896039603960394, 0.30528052805280526, 0.30528052805280526, 0.30528052805280526, 0.30528052805280526, 0.30528052805280526, 0.0, 0.0, 0.0, 0.0, 0.055693069306930715, 0.055693069306930715, 0.0, 0.0, 0.0]"
