audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}",0.24324324324324323,0.9165426577629756,"[{5: {'wet_level': 0.59}, 0: {'rate_hz': 1.63}}, {5: {'wet_level': 0.59}, 0: {'rate_hz': 1.63}}, {5: {'wet_level': 0.59}, 0: {'rate_hz': 1.63}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}]","[0.9164059048850747, 0.9164059048850747, 0.9164059048850747, 0.9165356340428559, 0.9165356340428559, 0.9165356340428559, 0.9165356340428559, 0.9165356340428559, 0.9165356340428559, 0.9165426577629756, 0.9165426577629756, 0.9165426577629756, 0.9165426577629756, 0.9165426577629756, 0.9165426577629756]","[0.23648648648648646, 0.23648648648648646, 0.23648648648648646, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.24324324324324323, 0.24324324324324323, 0.24324324324324323, 0.24324324324324323, 0.24324324324324323, 0.24324324324324323]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{5: {'wet_level': 0.55}, 0: {'rate_hz': 1.79}, 2: {'drive_db': 4.8}, 4: {'depth': 0.27}}",0.43886586970922514,0.9152160740210776,"[{5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 13.12}, 4: {'depth': 0.22}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 18.62}, 4: {'depth': 0.25}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 18.62}, 4: {'depth': 0.25}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 18.62}, 4: {'depth': 0.25}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 18.62}, 4: {'depth': 0.25}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.55}, 0: {'rate_hz': 1.79}, 2: {'drive_db': 4.8}, 4: {'depth': 0.27}}]","[0.9129005033731348, 0.9146119091754772, 0.9146119091754772, 0.9146119091754772, 0.9146119091754772, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9152160740210776]","[0.5189591642524964, 0.44413592077039304, 0.44413592077039304, 0.44413592077039304, 0.44413592077039304, 0.47923113303626486, 0.47923113303626486, 0.47923113303626486, 0.47923113303626486, 0.47923113303626486, 0.47923113303626486, 0.47923113303626486, 0.47923113303626486, 0.47923113303626486, 0.43886586970922514]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}",0.2467457203994294,0.914952742696576,"[{3: {'gain_db': -1.71}, 4: {'depth': 0.36}, 0: {'rate_hz': 5.71}}, {3: {'gain_db': -1.71}, 4: {'depth': 0.36}, 0: {'rate_hz': 5.71}}, {3: {'gain_db': -1.71}, 4: {'depth': 0.36}, 0: {'rate_hz': 5.71}}, {3: {'gain_db': -1.71}, 4: {'depth': 0.36}, 0: {'rate_hz': 5.71}}, {5: {'wet_level': 0.37}, 4: {'depth': 0.33}, 3: {'gain_db': 9.48}, 0: {'rate_hz': 3.1}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.29}, 4: {'depth': 0.35}, 3: {'gain_db': -4.08}, 0: {'rate_hz': 2.57}}, {5: {'wet_level': 0.29}, 4: {'depth': 0.35}, 3: {'gain_db': -4.08}, 0: {'rate_hz': 2.57}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}]","[0.913333096042789, 0.913333096042789, 0.913333096042789, 0.913333096042789, 0.9134374951992016, 0.9146490469736975, 0.9146490469736975, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759]","[0.4453162149310509, 0.4453162149310509, 0.4453162149310509, 0.4453162149310509, 0.2049572039942939, 0.2675790537327627, 0.2675790537327627, 0.2467457203994294, 0.2467457203994294, 0.2467457203994294, 0.2467457203994294, 0.2467457203994294, 0.2467457203994294, 0.2467457203994294, 0.2467457203994294]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}",0.4117139136224254,0.9155338655752324,"[{0: {'rate_hz': 1.78}, 5: {'wet_level': 0.43}}, {0: {'rate_hz': 1.78}, 5: {'wet_level': 0.43}}, {0: {'rate_hz': 1.78}, 5: {'wet_level': 0.43}}, {3: {'gain_db': 5.62}, 0: {'rate_hz': 1.78}, 2: {'drive_db': 10.47}, 5: {'wet_level': 0.58}}, {3: {'gain_db': 5.62}, 0: {'rate_hz': 1.78}, 2: {'drive_db': 10.47}, 5: {'wet_level': 0.58}}, {0: {'rate_hz': 1.95}, 5: {'wet_level': 0.5}}, {3: {'gain_db': -8.03}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.51}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}]","[0.915255311122696, 0.915255311122696, 0.915255311122696, 0.9154121656223513, 0.9154121656223513, 0.9155208209066477, 0.9155283529603566, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323]","[0.4065235425367584, 0.4065235425367584, 0.4065235425367584, 0.415697221664914, 0.415697221664914, 0.32965272612849705, 0.31828908976486064, 0.4117139136224254, 0.4117139136224254, 0.4117139136224254, 0.4117139136224254, 0.4117139136224254, 0.4117139136224254, 0.4117139136224254, 0.4117139136224254]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}",0.5632529917411091,0.9269008648172355,"[{0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}]","[0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355]","[0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091, 0.5632529917411091]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}",0.3478947189581413,0.9157044912820564,"[{5: {'wet_level': 0.4}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}}, {5: {'wet_level': 0.4}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}}, {5: {'wet_level': 0.4}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}, 3: {'gain_db': 6.36}}, {5: {'wet_level': 0.59}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}, 3: {'gain_db': 6.36}}, {5: {'wet_level': 0.59}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}, 3: {'gain_db': 6.36}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}]","[0.9144567449605941, 0.9144567449605941, 0.9144588626656588, 0.914705060020614, 0.914705060020614, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563]","[0.4190456951714385, 0.4190456951714385, 0.3818418066421275, 0.3818418066421275, 0.3818418066421275, 0.3478947189581413, 0.3478947189581413, 0.3478947189581413, 0.3478947189581413, 0.3478947189581413, 0.3478947189581413, 0.3478947189581413, 0.3478947189581413, 0.3478947189581413, 0.3478947189581413]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}",0.45531759750501566,0.8899346025273289,"[{0: {'rate_hz': 9.62}, 4: {'depth': 0.35}, 5: {'wet_level': 0.26}}, {0: {'rate_hz': 9.62}, 4: {'depth': 0.35}, 5: {'wet_level': 0.26}}, {0: {'rate_hz': 9.62}, 4: {'depth': 0.35}, 5: {'wet_level': 0.26}}, {0: {'rate_hz': 7.22}, 4: {'depth': 0.41}, 5: {'wet_level': 0.35}, 2: {'drive_db': 15.94}}, {4: {'depth': 0.39}, 0: {'rate_hz': 8.15}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.39}, 0: {'rate_hz': 8.15}, 5: {'wet_level': 0.24}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}]","[0.8880474391913517, 0.8880474391913517, 0.8880474391913517, 0.8890623927570072, 0.8895978721594665, 0.8895978721594665, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289]","[0.4397659330873934, 0.4397659330873934, 0.4397659330873934, 0.5723742925487203, 0.46512151907364313, 0.46512151907364313, 0.45531759750501566, 0.45531759750501566, 0.45531759750501566, 0.45531759750501566, 0.45531759750501566, 0.45531759750501566, 0.45531759750501566, 0.45531759750501566, 0.45531759750501566]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}",0.4678530453558671,0.915823760041428,"[{4: {'depth': 0.39}, 3: {'gain_db': 8.28}, 0: {'rate_hz': 2.88}}, {4: {'depth': 0.39}, 3: {'gain_db': -5.11}, 0: {'rate_hz': 2.88}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.77}, 2: {'drive_db': 13.82}, 0: {'rate_hz': 1.14}, 5: {'wet_level': 0.54}}, {4: {'depth': 0.23}, 3: {'gain_db': 3.65}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 14.77}, 5: {'wet_level': 0.46}}, {4: {'depth': 0.22}, 0: {'rate_hz': 1.14}, 5: {'wet_level': 0.31}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}]","[0.9076716750390393, 0.9080403332675908, 0.9143179609906551, 0.9143179609906551, 0.9143179609906551, 0.9143179609906551, 0.9143179609906551, 0.91516460596719, 0.915470472307426, 0.9157903496926131, 0.9158237600414281, 0.9158237600414281, 0.9158237600414281, 0.9158237600414281, 0.9158237600414281]","[0.34587413779245824, 0.3677172581294627, 0.47805671089984814, 0.47805671089984814, 0.47805671089984814, 0.47805671089984814, 0.47805671089984814, 0.48572069668252754, 0.5847837482285223, 0.3162920050174952, 0.4678530453558671, 0.4678530453558671, 0.4678530453558671, 0.4678530453558671, 0.4678530453558671]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}",0.5178062678062677,0.936893962923756,"[{2: {'drive_db': 15.18}, 4: {'depth': 0.22}, 0: {'rate_hz': 2.21}}, {0: {'rate_hz': 2.21}, 5: {'wet_level': 0.54}, 2: {'drive_db': 15.18}, 4: {'depth': 0.22}}, {3: {'gain_db': -6.12}, 4: {'depth': 0.24}, 0: {'rate_hz': 2.21}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 2.21}, 3: {'gain_db': -6.12}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 2.21}, 3: {'gain_db': -6.12}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.25}, 0: {'rate_hz': 2.21}, 2: {'drive_db': 15.18}}, {4: {'depth': 0.24}, 0: {'rate_hz': 2.21}, 3: {'gain_db': -6.12}, 5: {'wet_level': 0.27}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}]","[0.9328547198791263, 0.9333597846105012, 0.9334010457961752, 0.934830546862641, 0.934830546862641, 0.934895531347747, 0.9353525747268367, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756]","[0.48269230769230764, 0.5326923076923076, 0.5749333775181917, 0.7999333775181918, 0.7999333775181918, 0.691025641025641, 0.7999333775181918, 0.5178062678062677, 0.5178062678062677, 0.5178062678062677, 0.5178062678062677, 0.5178062678062677, 0.5178062678062677, 0.5178062678062677, 0.5178062678062677]"
9.mp3,{3: {'gain_db': 8.18}},"{5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}",0.3712871287128713,0.9673598297745376,"[{5: {'wet_level': 0.21}}, {5: {'wet_level': 0.21}}, {5: {'wet_level': 0.21}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}]","[0.9671753226634907, 0.9671753226634907, 0.9671753226634907, 0.9673415364684518, 0.9673415364684518, 0.9673415364684518, 0.9673415364684518, 0.9673415364684518, 0.9673415364684518, 0.9673598297745377, 0.9673598297745377, 0.9673598297745377, 0.9673598297745377, 0.9673598297745377, 0.9673598297745377]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3712871287128713, 0.3712871287128713, 0.3712871287128713, 0.3712871287128713, 0.3712871287128713, 0.3712871287128713]"
