audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{4: {'depth': 0.32}, 5: {'wet_level': 0.49}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': 2.59}}",0.7048677477870365,0.9906481414273426,"[{4: {'depth': 0.41}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.52}, 2: {'drive_db': 11.13}}, {4: {'depth': 0.37}, 5: {'wet_level': 0.34}, 1: {'delay_seconds': 3.52}, 2: {'drive_db': 9.47}}, {4: {'depth': 0.37}, 5: {'wet_level': 0.34}, 1: {'delay_seconds': 3.52}, 2: {'drive_db': 9.47}}, {4: {'depth': 0.36}, 1: {'delay_seconds': 3.52}, 3: {'gain_db': 3.64}, 5: {'wet_level': 0.43}, 2: {'drive_db': 13.12}}, {4: {'depth': 0.36}, 1: {'delay_seconds': 3.52}, 3: {'gain_db': 3.64}, 5: {'wet_level': 0.43}, 2: {'drive_db': 13.12}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.43}, 1: {'delay_seconds': 3.52}, 3: {'gain_db': 2.44}, 2: {'drive_db': 8.13}}, {4: {'depth': 0.33}, 1: {'delay_seconds': 3.52}, 5: {'wet_level': 0.58}, 2: {'drive_db': 9.47}}, {4: {'depth': 0.29}, 5: {'wet_level': 0.34}, 1: {'delay_seconds': 3.48}}, {4: {'depth': 0.36}, 1: {'delay_seconds': 3.48}, 5: {'wet_level': 0.58}, 3: {'gain_db': 7.48}}, {4: {'depth': 0.36}, 1: {'delay_seconds': 3.48}, 5: {'wet_level': 0.58}, 3: {'gain_db': 7.48}}, {4: {'depth': 0.32}, 5: {'wet_level': 0.43}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': -2.79}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.5}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': -2.79}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.5}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': -2.79}}, {4: {'depth': 0.31}, 5: {'wet_level': 0.5}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': -2.79}}, {4: {'depth': 0.32}, 5: {'wet_level': 0.49}, 1: {'delay_seconds': 3.48}, 3: {'gain_db': 2.59}}]","[0.9739861382982565, 0.977624956915158, 0.977624956915158, 0.9798507010809606, 0.9798507010809606, 0.9820552908605276, 0.9821741921971102, 0.9842963991788334, 0.9872551183672773, 0.9872551183672773, 0.9897951791340986, 0.9905120427702502, 0.9905120427702502, 0.9905120427702502, 0.9906481414273426]","[0.8888746953509987, 0.8293693614416953, 0.8293693614416953, 0.6757883564478061, 0.6757883564478061, 0.7268702316290471, 0.9403404721837386, 0.792629681308838, 0.617645785468016, 0.617645785468016, 0.77902679482026, 0.7948905215545898, 0.7948905215545898, 0.7948905215545898, 0.7048677477870365]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 3: {'gain_db': -8.76}, 0: {'rate_hz': 9.17}}",0.7251430001430373,0.9630128549143828,"[{5: {'wet_level': 0.28}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.92}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.92}}, {5: {'wet_level': 0.28}, 4: {'depth': 0.28}, 0: {'rate_hz': 9.92}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.31}, 4: {'depth': 0.3}, 3: {'gain_db': 4.28}, 0: {'rate_hz': 9.13}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 3: {'gain_db': -7.28}, 0: {'rate_hz': 9.89}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 3: {'gain_db': -7.28}, 0: {'rate_hz': 9.89}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 3: {'gain_db': -7.28}, 0: {'rate_hz': 9.89}}, {5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 2: {'drive_db': 16.81}, 3: {'gain_db': -2.33}, 0: {'rate_hz': 9.17}}, {5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 3: {'gain_db': -8.76}, 0: {'rate_hz': 9.17}}, {5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 3: {'gain_db': -8.76}, 0: {'rate_hz': 9.17}}, {5: {'wet_level': 0.51}, 4: {'depth': 0.3}, 3: {'gain_db': -8.76}, 0: {'rate_hz': 9.17}}]","[0.9620240516760478, 0.9620240516760478, 0.9620240516760478, 0.9623607862059176, 0.9623607862059176, 0.9623607862059176, 0.9623607862059176, 0.9623607862059176, 0.9628710765146283, 0.9628710765146283, 0.9628710765146283, 0.9629785737347976, 0.9630128549143828, 0.9630128549143828, 0.9630128549143828]","[0.7321462446422315, 0.7321462446422315, 0.7321462446422315, 0.607154634135158, 0.607154634135158, 0.607154634135158, 0.607154634135158, 0.607154634135158, 0.7308219644643813, 0.7308219644643813, 0.7308219644643813, 0.8011731397160575, 0.7251430001430373, 0.7251430001430373, 0.7251430001430373]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 15.0}, 4: {'depth': 0.35}}",0.993183625379796,0.9763754173052972,"[{0: {'rate_hz': 17.87}, 4: {'depth': 0.4}}, {4: {'depth': 0.33}, 0: {'rate_hz': 14.26}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.35}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 10.13}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 10.13}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 10.13}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 13.24}, 3: {'gain_db': 0.62}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 13.24}, 3: {'gain_db': 0.62}}, {0: {'rate_hz': 14.81}, 4: {'depth': 0.36}, 2: {'drive_db': 13.24}, 3: {'gain_db': 0.62}}, {0: {'rate_hz': 15.37}, 4: {'depth': 0.36}, 3: {'gain_db': -7.81}}, {0: {'rate_hz': 15.37}, 4: {'depth': 0.36}, 3: {'gain_db': -7.81}}, {0: {'rate_hz': 15.37}, 4: {'depth': 0.36}, 3: {'gain_db': -7.81}}, {0: {'rate_hz': 15.0}, 4: {'depth': 0.35}}, {0: {'rate_hz': 15.0}, 4: {'depth': 0.35}}]","[0.9594283885480032, 0.9640051708374263, 0.9691844344931118, 0.9696077459755137, 0.9696633033417652, 0.9696633033417652, 0.9696633033417652, 0.9697054673971357, 0.9697054673971357, 0.9697054673971357, 0.9701971802017157, 0.9701971802017157, 0.9701971802017157, 0.9763754173052972, 0.9763754173052972]","[0.93577293607255, 0.9743614873026274, 0.9919581534274585, 0.9957133929501295, 0.7931778138915782, 0.7931778138915782, 0.7931778138915782, 0.6535140094222182, 0.6535140094222182, 0.6535140094222182, 0.9547295166066601, 0.9547295166066601, 0.9547295166066601, 0.993183625379796, 0.993183625379796]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 3.36}, 3: {'gain_db': 0.67}}",0.6879218328568828,0.9500620616784012,"[{1: {'delay_seconds': 2.31}, 2: {'drive_db': 4.72}, 5: {'wet_level': 0.35}}, {5: {'wet_level': 0.36}, 2: {'drive_db': 12.3}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.38}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.43}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 3.43}, 3: {'gain_db': -2.89}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.46}, 2: {'drive_db': 8.06}}, {1: {'delay_seconds': 2.21}, 5: {'wet_level': 0.46}, 2: {'drive_db': 8.06}}, {5: {'wet_level': 0.52}, 1: {'delay_seconds': 2.22}, 3: {'gain_db': 2.28}}, {5: {'wet_level': 0.52}, 1: {'delay_seconds': 2.22}, 3: {'gain_db': 2.28}}, {5: {'wet_level': 0.5}, 0: {'rate_hz': 4.05}, 2: {'drive_db': 6.2}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.5}, 0: {'rate_hz': 4.05}, 2: {'drive_db': 6.2}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.5}, 0: {'rate_hz': 4.05}, 2: {'drive_db': 6.2}, 1: {'delay_seconds': 2.21}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 14.66}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 14.66}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 3.36}, 3: {'gain_db': 0.67}}, {5: {'wet_level': 0.43}, 0: {'rate_hz': 4.05}, 1: {'delay_seconds': 2.21}, 2: {'drive_db': 3.36}, 3: {'gain_db': 0.67}}]","[0.9434382543806751, 0.9471426198548731, 0.9479286297655439, 0.9482219231466011, 0.9482385897878848, 0.9482385897878848, 0.9489780354705866, 0.9489780354705866, 0.9496899078855177, 0.9496899078855177, 0.9496899078855177, 0.9498971091755612, 0.9498971091755612, 0.9500620616784011, 0.9500620616784011]","[0.7884347027511364, 0.9066571185439483, 0.6986112007168592, 0.7217431658687593, 0.839925003109075, 0.839925003109075, 0.5965945599349533, 0.5965945599349533, 0.8177410267412512, 0.8177410267412512, 0.8177410267412512, 0.9643408626846628, 0.9643408626846628, 0.6879218328568828, 0.6879218328568828]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{4: {'depth': 0.27}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 10.09}, 0: {'rate_hz': 2.55}, 3: {'gain_db': -7.88}, 5: {'wet_level': 0.31}}",0.6621710313826875,0.9759334400825582,"[{4: {'depth': 0.27}, 2: {'drive_db': 15.26}, 5: {'wet_level': 0.54}, 3: {'gain_db': 4.37}, 1: {'delay_seconds': 4.06}}, {4: {'depth': 0.27}, 2: {'drive_db': 15.43}, 5: {'wet_level': 0.54}, 3: {'gain_db': 4.37}, 1: {'delay_seconds': 4.02}}, {4: {'depth': 0.27}, 5: {'wet_level': 0.54}, 3: {'gain_db': -3.76}, 1: {'delay_seconds': 4.02}}, {4: {'depth': 0.27}, 5: {'wet_level': 0.54}, 3: {'gain_db': -3.76}, 1: {'delay_seconds': 4.02}}, {4: {'depth': 0.27}, 5: {'wet_level': 0.54}, 3: {'gain_db': -3.76}, 1: {'delay_seconds': 4.02}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 8.61}, 3: {'gain_db': 7.68}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 8.61}, 3: {'gain_db': 7.68}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 4.0}}, {4: {'depth': 0.22}, 5: {'wet_level': 0.21}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': -7.88}, 0: {'rate_hz': 2.55}}, {4: {'depth': 0.22}, 5: {'wet_level': 0.21}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': -7.88}, 0: {'rate_hz': 2.55}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.43}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': -7.88}, 0: {'rate_hz': 2.55}}, {4: {'depth': 0.22}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': 8.42}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.21}}, {4: {'depth': 0.22}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': 8.42}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.21}}, {4: {'depth': 0.27}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 10.09}, 0: {'rate_hz': 2.55}, 3: {'gain_db': -7.88}, 5: {'wet_level': 0.31}}, {4: {'depth': 0.27}, 1: {'delay_seconds': 4.0}, 2: {'drive_db': 10.09}, 0: {'rate_hz': 2.55}, 3: {'gain_db': -7.88}, 5: {'wet_level': 0.31}}]","[0.9483580752554416, 0.9517287011599981, 0.9518052259087405, 0.9518052259087405, 0.9518052259087405, 0.9530935274460858, 0.9530935274460858, 0.9531481384568354, 0.9563834531743355, 0.9563834531743355, 0.9627284343660774, 0.968442453811699, 0.968442453811699, 0.9759334400825582, 0.9759334400825582]","[0.6823578329372871, 0.6789957093283181, 0.8569114331507826, 0.8569114331507826, 0.8569114331507826, 0.7892272375106133, 0.7892272375106133, 0.7329954137583512, 0.6864258608546604, 0.6864258608546604, 0.770275849799841, 0.7460192118668406, 0.7460192118668406, 0.6621710313826875, 0.6621710313826875]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}",{0: {'rate_hz': 6.09}},0.8407389459618788,0.9882551949626608,"[{3: {'gain_db': 8.35}, 0: {'rate_hz': 5.08}}, {0: {'rate_hz': 5.7}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 5.96}}, {0: {'rate_hz': 6.09}}, {0: {'rate_hz': 6.09}}, {0: {'rate_hz': 6.09}}, {0: {'rate_hz': 6.09}}]","[0.9536155688854038, 0.9553039922542874, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9572632877993932, 0.9882551949626608, 0.9882551949626608, 0.9882551949626608, 0.9882551949626608]","[0.7426372534080867, 0.8405401043104149, 0.8407168401870431, 0.8407168401870431, 0.8407168401870431, 0.8407168401870431, 0.8407168401870431, 0.8407168401870431, 0.8407168401870431, 0.8407168401870431, 0.8407168401870431, 0.8407389459618788, 0.8407389459618788, 0.8407389459618788, 0.8407389459618788]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.9}, 2: {'drive_db': 15.14}, 5: {'wet_level': 0.26}}",0.7642711558528252,0.9540508191531704,"[{0: {'rate_hz': 9.47}, 2: {'drive_db': 3.45}, 3: {'gain_db': -5.8}, 1: {'delay_seconds': 1.23}, 4: {'depth': 0.25}, 5: {'wet_level': 0.44}}, {2: {'drive_db': 3.98}, 1: {'delay_seconds': 1.42}, 3: {'gain_db': 2.45}, 4: {'depth': 0.39}, 0: {'rate_hz': 8.97}}, {2: {'drive_db': 3.98}, 1: {'delay_seconds': 1.42}, 3: {'gain_db': 4.06}, 4: {'depth': 0.39}, 0: {'rate_hz': 8.97}, 5: {'wet_level': 0.41}}, {2: {'drive_db': 3.98}, 1: {'delay_seconds': 1.42}, 3: {'gain_db': 4.06}, 4: {'depth': 0.39}, 0: {'rate_hz': 8.97}, 5: {'wet_level': 0.41}}, {2: {'drive_db': 3.98}, 1: {'delay_seconds': 1.42}, 3: {'gain_db': 4.06}, 4: {'depth': 0.39}, 0: {'rate_hz': 8.97}, 5: {'wet_level': 0.41}}, {1: {'delay_seconds': 1.26}, 4: {'depth': 0.37}, 0: {'rate_hz': 7.74}, 5: {'wet_level': 0.57}}, {1: {'delay_seconds': 1.24}, 4: {'depth': 0.38}, 0: {'rate_hz': 9.22}, 5: {'wet_level': 0.57}, 3: {'gain_db': 6.02}}, {1: {'delay_seconds': 1.26}, 4: {'depth': 0.37}, 0: {'rate_hz': 9.22}, 5: {'wet_level': 0.42}, 2: {'drive_db': 19.82}, 3: {'gain_db': 8.28}}, {1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.32}, 2: {'drive_db': 8.27}, 3: {'gain_db': -7.1}, 5: {'wet_level': 0.26}}, {1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 9.22}, 2: {'drive_db': 8.27}, 5: {'wet_level': 0.26}, 3: {'gain_db': 5.17}}, {1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 9.22}, 2: {'drive_db': 8.27}, 5: {'wet_level': 0.26}, 3: {'gain_db': 5.17}}, {1: {'delay_seconds': 1.31}, 2: {'drive_db': 14.84}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.45}, 5: {'wet_level': 0.24}, 3: {'gain_db': 0.36}}, {1: {'delay_seconds': 1.31}, 2: {'drive_db': 14.84}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.45}, 5: {'wet_level': 0.24}, 3: {'gain_db': 0.36}}, {0: {'rate_hz': 8.9}, 1: {'delay_seconds': 1.26}, 4: {'depth': 0.38}, 5: {'wet_level': 0.28}, 3: {'gain_db': -5.09}}, {1: {'delay_seconds': 1.31}, 4: {'depth': 0.4}, 0: {'rate_hz': 8.9}, 2: {'drive_db': 15.14}, 5: {'wet_level': 0.26}}]","[0.9291071674451341, 0.9351247336866916, 0.942269410884084, 0.942269410884084, 0.942269410884084, 0.9425152941948092, 0.9449766828784988, 0.9466967572869638, 0.9510484839958605, 0.9514876309589356, 0.9514876309589356, 0.9518487232443207, 0.9518487232443207, 0.9519029579911977, 0.9540508191531704]","[0.6194590777347085, 0.6469463829933454, 0.6730648354002711, 0.6730648354002711, 0.6730648354002711, 0.5065080819829485, 0.5484561308790243, 0.8112910947360302, 0.7286320831485484, 0.7670532865733103, 0.7670532865733103, 0.9156659530113639, 0.9156659530113639, 0.5952868070861557, 0.7642711558528252]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}",{5: {'wet_level': 0.51}},0.721676596983533,0.961285691582368,"[{5: {'wet_level': 0.52}}, {5: {'wet_level': 0.47}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}, {5: {'wet_level': 0.51}}]","[0.961263666933236, 0.9612802527684893, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681, 0.9612856915823681]","[0.7220927579475749, 0.718369446759556, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533, 0.721676596983533]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}",0.8419547210917544,0.9692876234116072,"[{4: {'depth': 0.24}, 2: {'drive_db': 1.46}, 5: {'wet_level': 0.42}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.25}, 2: {'drive_db': 1.46}}, {4: {'depth': 0.21}, 0: {'rate_hz': 2.31}, 2: {'drive_db': 10.34}, 3: {'gain_db': -0.24}, 5: {'wet_level': 0.47}}, {4: {'depth': 0.21}, 0: {'rate_hz': 2.31}, 2: {'drive_db': 10.34}, 3: {'gain_db': -0.24}, 5: {'wet_level': 0.47}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.26}, 3: {'gain_db': 9.69}, 0: {'rate_hz': 2.3}, 2: {'drive_db': 1.43}, 5: {'wet_level': 0.24}}]","[0.9648365906657134, 0.9664448080828044, 0.9664448080828044, 0.9664448080828044, 0.9664448080828044, 0.9664448080828044, 0.9692771182499026, 0.9692771182499026, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073, 0.9692876234116073]","[0.7281249521072839, 0.7384530971175391, 0.7384530971175391, 0.7384530971175391, 0.7384530971175391, 0.7384530971175391, 0.7525878008337173, 0.7525878008337173, 0.8419547210917544, 0.8419547210917544, 0.8419547210917544, 0.8419547210917544, 0.8419547210917544, 0.8419547210917544, 0.8419547210917544]"
9.mp3,{3: {'gain_db': 8.18}},{3: {'gain_db': 4.77}},0.9303936664759113,0.993262157472075,"[{3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}, {3: {'gain_db': 4.77}}]","[0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075, 0.993262157472075]","[0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113, 0.9303936664759113]"
