audio_name,applied_effects,GA_effects,similarity_indv,best_fit,similarity_indv_effects_only
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{5: {'wet_level': 0.49}, 1: {'delay_seconds': 3.47}}",0.7383397647641053,0.9694041607741352,
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{0: {'rate_hz': 10.08}, 4: {'depth': 0.29}}",0.6339541556236634,0.9543031007510224,
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{0: {'rate_hz': 13.14}, 4: {'depth': 0.37}, 3: {'gain_db': 2.19}, 2: {'drive_db': 1.23}}",0.7468905777541468,0.9665211058258644,
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{2: {'drive_db': 17.54}, 5: {'wet_level': 0.41}, 1: {'delay_seconds': 2.24}}",0.8897198642849341,0.949762487095629,
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{4: {'depth': 0.2}, 1: {'delay_seconds': 3.98}, 3: {'gain_db': -1.63}, 5: {'wet_level': 0.52}}",0.8877862076873559,0.9477623743736924,
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{3: {'gain_db': 3.33}, 0: {'rate_hz': 6.08}}",0.8360983526623359,0.9730059877203834,
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{1: {'delay_seconds': 1.22}, 0: {'rate_hz': 14.61}, 4: {'depth': 0.48}}",0.5043345569020556,0.9218144505780907,
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{3: {'gain_db': -6.9}, 0: {'rate_hz': 2.18}}",0.5708957974260019,0.9696132127494148,
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{0: {'rate_hz': 2.45}, 5: {'wet_level': 0.57}}",0.6474708049915109,0.9672881745990952,
9.mp3,{3: {'gain_db': 8.18}},{3: {'gain_db': 7.07}},0.9773422198792556,0.9932622898139032,
10.mp3,"{2: {'drive_db': 6.59}, 0: {'rate_hz': 18.59}}","{3: {'gain_db': 0.01}, 0: {'rate_hz': 18.61}}",0.7553671117776679,0.9657440868168355,
11.mp3,"{5: {'wet_level': 0.3}, 0: {'rate_hz': 4.78}, 4: {'depth': 0.22}, 2: {'drive_db': 18.85}, 3: {'gain_db': -5.75}, 1: {'delay_seconds': 1.46}}","{1: {'delay_seconds': 1.42}, 5: {'wet_level': 0.35}, 3: {'gain_db': -3.8}}",0.5725294573718385,0.9527934360286612,
12.mp3,"{5: {'wet_level': 0.4}, 3: {'gain_db': -3.81}}","{5: {'wet_level': 0.39}, 3: {'gain_db': 5.7}}",0.8057587291631969,0.9943007219573806,
13.mp3,"{4: {'depth': 0.37}, 2: {'drive_db': 17.28}, 1: {'delay_seconds': 1.2}, 0: {'rate_hz': 9.86}, 3: {'gain_db': -3.47}}","{4: {'depth': 0.36}, 1: {'delay_seconds': 1.17}}",0.5725149071258394,0.9141658373659742,
14.mp3,"{1: {'delay_seconds': 4.19}, 5: {'wet_level': 0.59}, 0: {'rate_hz': 15.15}, 2: {'drive_db': 15.43}, 3: {'gain_db': -1.14}}","{5: {'wet_level': 0.26}, 1: {'delay_seconds': 4.16}, 0: {'rate_hz': 11.09}}",0.5650275391859081,0.9300676459918826,
15.mp3,"{4: {'depth': 0.23}, 1: {'delay_seconds': 2.75}, 3: {'gain_db': -2.59}, 2: {'drive_db': 2.67}, 5: {'wet_level': 0.6}}","{4: {'depth': 0.28}, 2: {'drive_db': 8.72}, 1: {'delay_seconds': 2.77}}",0.5461760722401171,0.9641741112658212,
16.mp3,"{3: {'gain_db': 0.22}, 1: {'delay_seconds': 2.95}, 2: {'drive_db': 17.73}, 5: {'wet_level': 0.42}, 4: {'depth': 0.22}, 0: {'rate_hz': 12.71}}","{1: {'delay_seconds': 3.39}, 5: {'wet_level': 0.25}, 0: {'rate_hz': 16.43}, 4: {'depth': 0.25}}",0.5580118727503762,0.9154726189843836,
17.mp3,"{3: {'gain_db': 3.24}, 4: {'depth': 0.52}, 5: {'wet_level': 0.35}, 2: {'drive_db': 19.54}, 1: {'delay_seconds': 1.2}}","{4: {'depth': 0.47}, 3: {'gain_db': -4.89}, 1: {'delay_seconds': 1.22}, 5: {'wet_level': 0.28}}",0.5640445730819958,0.9733372714957298,
18.mp3,"{3: {'gain_db': -1.54}, 1: {'delay_seconds': 1.88}, 5: {'wet_level': 0.44}}","{1: {'delay_seconds': 1.88}, 5: {'wet_level': 0.44}}",0.8273109731337859,0.9883050910942778,
