audio_name,applied_effects,GA_effects,similarity_indv,best_fit,GA_bests,best_fitnesses,similarity_indvs
0.mp3,"{2: {'drive_db': 6.59}, 4: {'depth': 0.32}, 5: {'wet_level': 0.57}, 1: {'delay_seconds': 3.48}}","{3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}",0.6145879429705088,0.9165426577629756,"[{5: {'wet_level': 0.59}, 0: {'rate_hz': 1.63}}, {5: {'wet_level': 0.59}, 0: {'rate_hz': 1.63}}, {5: {'wet_level': 0.59}, 0: {'rate_hz': 1.63}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {5: {'wet_level': 0.57}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}, {3: {'gain_db': -9.81}, 5: {'wet_level': 0.58}, 0: {'rate_hz': 2.32}}]","[0.9164059048850747, 0.9164059048850747, 0.9164059048850747, 0.9165356340428559, 0.9165356340428559, 0.9165356340428559, 0.9165356340428559, 0.9165356340428559, 0.9165356340428559, 0.9165426577629756, 0.9165426577629756, 0.9165426577629756, 0.9165426577629756, 0.9165426577629756, 0.9165426577629756]","[0.6159027780288876, 0.6159027780288876, 0.6159027780288876, 0.6146675257122224, 0.6146675257122224, 0.6146675257122224, 0.6146675257122224, 0.6146675257122224, 0.6146675257122224, 0.6145879429705088, 0.6145879429705088, 0.6145879429705088, 0.6145879429705088, 0.6145879429705088, 0.6145879429705088]"
1.mp3,"{2: {'drive_db': 12.68}, 5: {'wet_level': 0.38}, 4: {'depth': 0.29}, 0: {'rate_hz': 9.49}}","{5: {'wet_level': 0.55}, 0: {'rate_hz': 1.79}, 2: {'drive_db': 4.8}, 4: {'depth': 0.27}}",0.7467379851850102,0.9152160740210776,"[{5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 13.12}, 4: {'depth': 0.22}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 18.62}, 4: {'depth': 0.25}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 18.62}, 4: {'depth': 0.25}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 18.62}, 4: {'depth': 0.25}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.47}, 3: {'gain_db': 4.22}, 2: {'drive_db': 18.62}, 4: {'depth': 0.25}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.45}, 4: {'depth': 0.28}, 0: {'rate_hz': 1.79}}, {5: {'wet_level': 0.55}, 0: {'rate_hz': 1.79}, 2: {'drive_db': 4.8}, 4: {'depth': 0.27}}]","[0.9129005033731348, 0.9146119091754772, 0.9146119091754772, 0.9146119091754772, 0.9146119091754772, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9151138621129957, 0.9152160740210776]","[0.6607996877185225, 0.6420196829329754, 0.6420196829329754, 0.6420196829329754, 0.6420196829329754, 0.6933868102182358, 0.6933868102182358, 0.6933868102182358, 0.6933868102182358, 0.6933868102182358, 0.6933868102182358, 0.6933868102182358, 0.6933868102182358, 0.6933868102182358, 0.7467379851850102]"
2.mp3,"{0: {'rate_hz': 15.02}, 4: {'depth': 0.36}}","{5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}",0.6275964890068838,0.914952742696576,"[{3: {'gain_db': -1.71}, 4: {'depth': 0.36}, 0: {'rate_hz': 5.71}}, {3: {'gain_db': -1.71}, 4: {'depth': 0.36}, 0: {'rate_hz': 5.71}}, {3: {'gain_db': -1.71}, 4: {'depth': 0.36}, 0: {'rate_hz': 5.71}}, {3: {'gain_db': -1.71}, 4: {'depth': 0.36}, 0: {'rate_hz': 5.71}}, {5: {'wet_level': 0.37}, 4: {'depth': 0.33}, 3: {'gain_db': 9.48}, 0: {'rate_hz': 3.1}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.29}, 4: {'depth': 0.35}, 3: {'gain_db': -4.08}, 0: {'rate_hz': 2.57}}, {5: {'wet_level': 0.29}, 4: {'depth': 0.35}, 3: {'gain_db': -4.08}, 0: {'rate_hz': 2.57}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}, {5: {'wet_level': 0.39}, 4: {'depth': 0.33}, 0: {'rate_hz': 2.57}, 2: {'drive_db': 2.8}}]","[0.913333096042789, 0.913333096042789, 0.913333096042789, 0.913333096042789, 0.9134374951992016, 0.9146490469736975, 0.9146490469736975, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759, 0.9149527426965759]","[0.7455396232547524, 0.7455396232547524, 0.7455396232547524, 0.7455396232547524, 0.4667286841613396, 0.6562435118457425, 0.6562435118457425, 0.6275964890068838, 0.6275964890068838, 0.6275964890068838, 0.6275964890068838, 0.6275964890068838, 0.6275964890068838, 0.6275964890068838, 0.6275964890068838]"
3.mp3,"{1: {'delay_seconds': 2.26}, 2: {'drive_db': 14.18}, 5: {'wet_level': 0.38}, 0: {'rate_hz': 4.11}}","{2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}",0.7525451687306984,0.9155338655752324,"[{0: {'rate_hz': 1.78}, 5: {'wet_level': 0.43}}, {0: {'rate_hz': 1.78}, 5: {'wet_level': 0.43}}, {0: {'rate_hz': 1.78}, 5: {'wet_level': 0.43}}, {3: {'gain_db': 5.62}, 0: {'rate_hz': 1.78}, 2: {'drive_db': 10.47}, 5: {'wet_level': 0.58}}, {3: {'gain_db': 5.62}, 0: {'rate_hz': 1.78}, 2: {'drive_db': 10.47}, 5: {'wet_level': 0.58}}, {0: {'rate_hz': 1.95}, 5: {'wet_level': 0.5}}, {3: {'gain_db': -8.03}, 0: {'rate_hz': 1.95}, 5: {'wet_level': 0.51}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}, {2: {'drive_db': 18.1}, 0: {'rate_hz': 1.78}, 5: {'wet_level': 0.58}}]","[0.915255311122696, 0.915255311122696, 0.915255311122696, 0.9154121656223513, 0.9154121656223513, 0.9155208209066477, 0.9155283529603566, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323, 0.9155338655752323]","[0.6517898875572288, 0.6517898875572288, 0.6517898875572288, 0.5972265709047018, 0.5972265709047018, 0.644413864162282, 0.6405337998169035, 0.7525451687306984, 0.7525451687306984, 0.7525451687306984, 0.7525451687306984, 0.7525451687306984, 0.7525451687306984, 0.7525451687306984, 0.7525451687306984]"
4.mp3,"{1: {'delay_seconds': 3.99}, 4: {'depth': 0.26}, 3: {'gain_db': 2.76}, 0: {'rate_hz': 2.55}, 5: {'wet_level': 0.54}}","{0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}",0.581308298696116,0.9269008648172355,"[{0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}, {0: {'rate_hz': 3.19}, 4: {'depth': 0.21}, 5: {'wet_level': 0.54}}]","[0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355, 0.9269008648172355]","[0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116, 0.581308298696116]"
5.mp3,"{2: {'drive_db': 4.27}, 0: {'rate_hz': 6.09}, 3: {'gain_db': -3.47}}","{0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}",0.5368500062974558,0.9157044912820564,"[{5: {'wet_level': 0.4}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}}, {5: {'wet_level': 0.4}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}}, {5: {'wet_level': 0.4}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}, 3: {'gain_db': 6.36}}, {5: {'wet_level': 0.59}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}, 3: {'gain_db': 6.36}}, {5: {'wet_level': 0.59}, 0: {'rate_hz': 1.77}, 2: {'drive_db': 11.07}, 3: {'gain_db': 6.36}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}, {0: {'rate_hz': 2.03}, 3: {'gain_db': 5.48}, 5: {'wet_level': 0.6}}]","[0.9144567449605941, 0.9144567449605941, 0.9144588626656588, 0.914705060020614, 0.914705060020614, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563, 0.9157044912820563]","[0.6552047239195302, 0.6552047239195302, 0.6239963000083545, 0.5220228920327452, 0.5220228920327452, 0.5368500062974558, 0.5368500062974558, 0.5368500062974558, 0.5368500062974558, 0.5368500062974558, 0.5368500062974558, 0.5368500062974558, 0.5368500062974558, 0.5368500062974558, 0.5368500062974558]"
6.mp3,"{0: {'rate_hz': 8.77}, 3: {'gain_db': 0.93}, 1: {'delay_seconds': 1.33}, 4: {'depth': 0.41}, 5: {'wet_level': 0.26}, 2: {'drive_db': 18.85}}","{0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}",0.5409718498908889,0.8899346025273289,"[{0: {'rate_hz': 9.62}, 4: {'depth': 0.35}, 5: {'wet_level': 0.26}}, {0: {'rate_hz': 9.62}, 4: {'depth': 0.35}, 5: {'wet_level': 0.26}}, {0: {'rate_hz': 9.62}, 4: {'depth': 0.35}, 5: {'wet_level': 0.26}}, {0: {'rate_hz': 7.22}, 4: {'depth': 0.41}, 5: {'wet_level': 0.35}, 2: {'drive_db': 15.94}}, {4: {'depth': 0.39}, 0: {'rate_hz': 8.15}, 5: {'wet_level': 0.24}}, {4: {'depth': 0.39}, 0: {'rate_hz': 8.15}, 5: {'wet_level': 0.24}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}, {0: {'rate_hz': 8.15}, 4: {'depth': 0.39}, 5: {'wet_level': 0.22}}]","[0.8880474391913517, 0.8880474391913517, 0.8880474391913517, 0.8890623927570072, 0.8895978721594665, 0.8895978721594665, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289, 0.8899346025273289]","[0.5400125454609296, 0.5400125454609296, 0.5400125454609296, 0.7357101496462642, 0.5415773925327885, 0.5415773925327885, 0.5409718498908889, 0.5409718498908889, 0.5409718498908889, 0.5409718498908889, 0.5409718498908889, 0.5409718498908889, 0.5409718498908889, 0.5409718498908889, 0.5409718498908889]"
7.mp3,"{5: {'wet_level': 0.54}, 3: {'gain_db': 1.59}, 0: {'rate_hz': 2.18}, 2: {'drive_db': 6.77}}","{4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}",0.6902345794948366,0.915823760041428,"[{4: {'depth': 0.39}, 3: {'gain_db': 8.28}, 0: {'rate_hz': 2.88}}, {4: {'depth': 0.39}, 3: {'gain_db': -5.11}, 0: {'rate_hz': 2.88}, 5: {'wet_level': 0.23}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.39}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 1.14}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.77}, 2: {'drive_db': 13.82}, 0: {'rate_hz': 1.14}, 5: {'wet_level': 0.54}}, {4: {'depth': 0.23}, 3: {'gain_db': 3.65}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 14.77}, 5: {'wet_level': 0.46}}, {4: {'depth': 0.22}, 0: {'rate_hz': 1.14}, 5: {'wet_level': 0.31}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}, {4: {'depth': 0.23}, 3: {'gain_db': -9.42}, 0: {'rate_hz': 1.14}, 2: {'drive_db': 7.23}, 5: {'wet_level': 0.33}}]","[0.9076716750390393, 0.9080403332675908, 0.9143179609906551, 0.9143179609906551, 0.9143179609906551, 0.9143179609906551, 0.9143179609906551, 0.91516460596719, 0.915470472307426, 0.9157903496926131, 0.9158237600414281, 0.9158237600414281, 0.9158237600414281, 0.9158237600414281, 0.9158237600414281]","[0.5066783503635786, 0.608959359647354, 0.6179257755841635, 0.6179257755841635, 0.6179257755841635, 0.6179257755841635, 0.6179257755841635, 0.6846883302602422, 0.7626411920663071, 0.6501201661310727, 0.6902345794948366, 0.6902345794948366, 0.6902345794948366, 0.6902345794948366, 0.6902345794948366]"
8.mp3,"{0: {'rate_hz': 2.45}, 4: {'depth': 0.24}, 5: {'wet_level': 0.3}, 3: {'gain_db': 2.38}}","{0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}",0.6947383029207501,0.936893962923756,"[{2: {'drive_db': 15.18}, 4: {'depth': 0.22}, 0: {'rate_hz': 2.21}}, {0: {'rate_hz': 2.21}, 5: {'wet_level': 0.54}, 2: {'drive_db': 15.18}, 4: {'depth': 0.22}}, {3: {'gain_db': -6.12}, 4: {'depth': 0.24}, 0: {'rate_hz': 2.21}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 2.21}, 3: {'gain_db': -6.12}}, {4: {'depth': 0.24}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 2.21}, 3: {'gain_db': -6.12}}, {4: {'depth': 0.26}, 5: {'wet_level': 0.25}, 0: {'rate_hz': 2.21}, 2: {'drive_db': 15.18}}, {4: {'depth': 0.24}, 0: {'rate_hz': 2.21}, 3: {'gain_db': -6.12}, 5: {'wet_level': 0.27}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}, {0: {'rate_hz': 3.15}, 5: {'wet_level': 0.55}, 4: {'depth': 0.22}}]","[0.9328547198791263, 0.9333597846105012, 0.9334010457961752, 0.934830546862641, 0.934830546862641, 0.934895531347747, 0.9353525747268367, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756, 0.936893962923756]","[0.5508346423436926, 0.5678547483559276, 0.7320544209483326, 0.8252291977093046, 0.8252291977093046, 0.5984526687185441, 0.8252291977093046, 0.6947383029207501, 0.6947383029207501, 0.6947383029207501, 0.6947383029207501, 0.6947383029207501, 0.6947383029207501, 0.6947383029207501, 0.6947383029207501]"
9.mp3,{3: {'gain_db': 8.18}},"{5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}",0.8337335917314669,0.9673598297745376,"[{5: {'wet_level': 0.21}}, {5: {'wet_level': 0.21}}, {5: {'wet_level': 0.21}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}, {5: {'wet_level': 0.2}, 3: {'gain_db': 3.5}}]","[0.9671753226634907, 0.9671753226634907, 0.9671753226634907, 0.9673415364684518, 0.9673415364684518, 0.9673415364684518, 0.9673415364684518, 0.9673415364684518, 0.9673415364684518, 0.9673598297745377, 0.9673598297745377, 0.9673598297745377, 0.9673598297745377, 0.9673598297745377, 0.9673598297745377]","[0.6023441605273894, 0.6023441605273894, 0.6023441605273894, 0.6047380381082458, 0.6047380381082458, 0.6047380381082458, 0.6047380381082458, 0.6047380381082458, 0.6047380381082458, 0.8337335917314669, 0.8337335917314669, 0.8337335917314669, 0.8337335917314669, 0.8337335917314669, 0.8337335917314669]"
